V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T,NLD_HFCE,NLD_NPISH,NLD_GGFC,NLD_GFCF,NLD_INVNT,NLD_DPABR
NLD_A01_02,3336.4211,0.6395,11.1127,0.9784,3.4814,10548.33,100.9005,43.9312,20.5655,14.1713,50.9248,15.3123,66.8306,7.7872,13.5439,19.5004,56.324,9.0676,19.8387,5.6692,11.683,79.6653,63.4632,10.7626,173.8821,298.2386,46.5472,8.2305,17.5179,46.5038,1.9536,313.7705,8.2349,11.8034,17.6831,23.1559,60.2226,77.8682,192.5934,103.9211,15.6702,236.3414,19.9402,34.088,0.0,4056.866,1.192,273.5833,430.8297,217.4287,0.0
NLD_A03,11.1234,8.4092,0.0026,0.0003,0.001,155.2848,0.1206,0.0033,0.1262,0.9992,3.0628,1.1343,0.0618,0.0072,0.011,0.0213,0.0209,0.0081,0.025,0.0093,0.0116,0.5566,0.3604,1.6786,0.1235,2.7869,0.0517,0.2598,0.0106,0.0739,0.0048,25.6614,0.0225,0.0157,0.0616,0.1163,0.1295,0.2499,0.1409,2.3099,0.1832,16.394,0.7565,0.6706,0.0,151.9887,0.0001,0.2171,0.1336,5.5922,0.0
NLD_B05_06,45.4556,0.0227,174.6967,40.5346,171.8093,35.3803,4.0249,0.5208,9.7725,1664.0068,158.3944,2.2976,4.6337,8.455,125.1884,8.5069,0.9368,0.729,1.0341,1.0065,10.1002,3.9074,174.4966,3.7893,202.8492,37.0075,2.8789,0.1978,0.1822,6.455,0.4919,21.4594,0.7843,1.6612,1.8641,5.0424,7.38,18.2357,6.3904,9.0391,13.622,26.2909,11.2651,12.5906,0.0,479.3651,0.0,0.1657,169.9275,-30.2694,0.0
NLD_B07_08,18.4237,0.3908,3.4823,31.7874,56.1272,2.5375,1.8793,0.0,0.834,0.0,124.1679,0.6487,3.0204,181.1279,59.6067,3.7123,0.0,0.0,2.2893,0.0,5.8715,1.1241,0.0,1.6878,339.6377,7.5142,0.0,0.0,0.0702,0.0,0.0,0.0,0.0,0.0,0.465,0.0,2.9235,2.0546,1.6911,31.9056,0.5133,0.0,0.0,0.0,0.0,156.0111,0.0,0.0,0.0,5.7047,0.0
NLD_B09,0.0,0.0,587.8637,145.2189,584.209,0.0,3.4192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.966,0.0,0.0,0.0,0.0,0.0,3.463,2.2398,0.0,0.0,752.9255,0.0,0.0,0.0,0.1116,0.0,0.0,0.0,0.0,0.0,0.9265,0.0,5.8253,4.094,3.3697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.8461,0.0,0.0
NLD_C10T12,2717.4408,13.6539,2.3815,10.1659,18.5155,11459.4007,55.6235,3.2098,48.9899,241.6274,531.8501,280.6326,47.3042,61.9128,22.7957,42.1695,111.5145,16.8422,42.0587,9.541,13.2999,271.8474,90.5362,402.633,213.0095,1238.1523,38.1871,13.0339,12.5329,27.8804,15.4746,3262.5679,37.7407,15.6555,77.9433,116.6653,60.0291,386.117,120.1195,187.6573,81.7234,933.2342,516.087,82.0712,0.0,22034.8557,0.0,18.6001,199.237,1342.6526,0.0
NLD_C13T15,4.0764,3.5141,0.1275,0.0144,0.0642,2.9729,211.7177,1.373,13.7925,0.4082,3.2953,0.4215,20.2456,1.9626,0.616,4.3919,11.2203,11.4418,10.1196,2.4242,1.4398,28.2833,0.488,2.3263,17.0629,15.0991,1.8687,0.6373,0.5441,1.3663,2.6246,4.5274,0.4455,7.9197,0.7116,1.9542,1.6319,20.0399,37.8302,48.8017,1.8092,82.7622,3.1261,13.2806,0.0,2449.6717,0.0,0.0,42.6193,29.5944,0.0
NLD_C16,29.4318,0.0296,0.5124,0.1654,0.4933,63.0808,11.0322,345.8382,14.2653,2.78,29.3698,16.6627,30.203,16.3392,18.4716,39.3139,13.3712,5.042,29.5803,5.4141,21.1245,157.1491,3.5868,10.6779,830.7887,95.7033,9.2456,1.3713,1.4652,33.3684,1.1574,14.6745,8.0104,8.3591,8.2067,9.8738,228.323,27.5851,133.728,14.4176,9.7056,12.6921,3.3211,34.7368,0.0,305.061,0.0344,7.1705,97.4834,19.019,0.0
NLD_C17_18,20.5396,4.2933,3.3738,3.2752,11.6298,580.0144,10.3352,7.0405,1725.4568,5.034,81.1582,93.179,72.153,22.3629,34.3786,48.1715,44.0742,13.1675,85.6283,25.1888,11.4733,69.2366,17.8309,32.0712,102.645,432.0259,36.1268,15.4374,10.1507,39.2147,5.555,64.415,761.3293,55.6403,110.1505,118.9114,59.0341,298.3756,250.2504,137.9163,124.1222,288.0145,41.7703,35.7495,0.0,1282.3216,7.2836,32.6469,410.8559,58.3139,0.0
NLD_C19,244.3122,20.5438,6.03,5.4016,14.3811,41.7669,6.9028,3.8919,12.8542,1182.6133,1223.1806,8.255,30.6594,21.5811,14.8395,38.4358,6.5796,61.5077,20.7095,4.4228,13.868,82.0597,53.2452,39.4341,341.5011,380.582,950.847,326.8983,1200.9246,118.7329,14.1425,20.3192,6.2097,2.383,40.251,92.4664,61.5118,142.2395,217.8876,77.6406,53.7088,43.0477,60.7955,47.1008,0.0,3907.2708,0.0063,0.4581,4.1119,143.6972,0.0
NLD_C20,362.7689,2.2143,4.6772,9.6983,23.4733,319.5702,261.0151,36.1763,338.8542,398.9543,8374.5529,95.5899,1221.3416,104.7018,63.1026,98.5715,201.8214,60.6831,54.6213,45.2739,35.3624,237.403,33.6823,51.6228,549.5325,249.3654,51.7135,16.6735,47.3033,11.4092,4.8131,23.0113,47.4173,9.7097,36.576,29.876,72.7503,268.6798,150.4545,65.8476,41.858,301.6061,20.6737,134.677,0.0,2827.202,0.4167,46.4386,242.2485,229.1828,0.0
