V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T,MMR_HFCE,MMR_NPISH,MMR_GGFC,MMR_GFCF,MMR_INVNT,MMR_DPABR
MMR_A01_02,19045.8709,142.2174,79.0679,32.8097,0.691,5370.7733,857.3655,277.8793,81.1454,10.8116,260.5079,111.4541,126.8416,11.0316,6.4312,6.6713,9.7079,4.4502,7.0261,9.8614,1.9333,100.1089,31.3206,7.0163,180.3077,1190.5231,47.2066,29.5701,13.7834,30.2251,1.5225,643.2781,24.3891,29.8892,9.5,28.6072,84.7491,79.3362,114.0043,440.4258,216.6578,289.0045,83.3908,105.9774,0,10336.6407,6.2486,838.9849,1704.2054,-16.5441,0.0
MMR_A03,165.8198,3736.1572,14.7163,7.4273,0.0886,907.3797,23.2462,3.2844,2.6405,1.7659,13.3402,6.055,1.7692,1.3679,1.0179,1.2116,2.1084,1.217,1.541,1.4068,0.2918,22.7549,1.5445,0.5034,9.1623,148.7986,6.8738,15.8712,3.8272,3.7441,0.3454,425.9549,8.6567,10.8948,4.272,6.7117,9.6391,15.2078,8.4504,74.3217,42.6521,54.5474,16.0258,14.6353,0,3104.9215,3.4615,86.6815,70.4867,-5.1439,0.0
MMR_B05_06,9.5478,1.8276,467.915,30.2291,1.0921,2.6656,3.2556,0.9088,2.717,1381.1414,20.6632,0.8569,1.228,13.3737,17.3696,1.579,1.6224,0.9044,1.7244,1.3955,0.3216,1.8416,136.8679,0.7115,15.6735,17.0821,20.0263,3.829,6.585,3.2684,0.5295,1.1124,0.7459,2.56,0.3755,2.403,5.611,3.6413,2.2151,6.122,3.0699,3.1475,1.1782,1.9153,0,22.0415,0.0274,3.9082,177.5757,-2.1587,0.0
MMR_B07_08,11.0466,0.9745,114.4991,476.2823,3.4583,1.8703,1.9943,0.672,3.4685,28.483,47.4587,1.6805,1.3324,234.934,408.7132,9.156,2.7511,3.4707,2.2443,1.6374,0.3815,8.2602,14.0255,1.3718,298.4268,6.3981,3.726,0.2788,0.2937,2.1323,0.0654,0.4356,0.2604,0.7754,0.1394,0.5393,8.6513,2.458,1.4527,5.7808,1.0036,1.0899,0.6265,1.1376,0,74.6399,0.0291,3.7454,57.4003,0.018,0.0
MMR_B09,0.0545,0.0129,18.2026,2.4119,0.1491,0.0109,0.0102,0.0033,0.0239,1.9858,0.0367,0.0025,0.0055,0.1994,0.2529,0.0183,0.0049,0.0034,0.0092,0.0042,0.0011,0.0071,0.2131,0.0072,0.6898,0.049,0.0592,0.0079,0.0108,0.0192,0.0009,0.003,0.0031,0.0091,0.0021,0.008,0.0603,0.0406,0.0167,0.0314,0.0049,0.0094,0.0031,0.0045,0,0.0832,0.0004,0.0463,13.9211,-0.001,0.0
MMR_C10T12,1854.9483,150.3938,28.4436,11.9737,0.1775,595.9315,75.6369,3.1224,15.2592,8.7819,99.8293,37.5332,6.4118,4.4566,3.1657,3.0491,5.8152,3.2849,4.3023,4.1436,0.6071,14.4945,5.5578,2.195,26.423,340.3072,19.0182,28.3645,17.1818,17.7869,1.1711,547.278,19.9442,23.9842,7.1528,29.0726,30.3879,41.2907,31.2146,180.7614,147.6907,215.4653,54.498,46.3467,0,3912.5973,2.7543,88.9725,46.0285,-120.095,0.0
MMR_C13T15,24.183,9.5769,47.1811,9.3326,0.2834,6.2301,1881.56,4.2873,11.3591,2.5887,5.033,2.7897,10.5316,4.9996,3.3169,4.459,8.3781,3.8972,6.0534,23.4712,2.011,67.1605,2.9314,2.069,34.065,89.79,12.3398,3.9556,5.1633,6.2645,2.1534,6.2341,7.5275,12.2395,2.7053,11.639,9.2424,20.2764,17.7735,72.0393,14.9168,42.7069,12.6967,34.0714,0,2300.6699,2.4626,68.5434,74.026,-6.0423,0.0
MMR_C16,10.7913,1.4465,7.6816,6.4878,0.0557,2.1982,4.7698,194.3413,16.4869,0.4846,2.8443,0.5355,2.6742,7.1168,2.146,4.3695,3.0987,2.9418,3.057,9.0922,1.741,145.4593,3.7694,0.3742,218.7291,22.5748,3.0447,0.4587,0.3508,2.7601,0.1566,0.6695,1.9792,1.7253,0.4079,1.3311,28.9562,4.9286,2.7403,3.312,2.3275,2.5919,1.4798,6.8737,0,69.0404,0.2601,3.0365,71.2216,-0.4904,0.0
MMR_C17_18,8.6207,1.4607,8.1458,4.1944,0.0566,12.9569,17.7037,7.0186,240.9801,1.2159,8.8453,7.5917,6.9951,10.2508,2.3492,3.0739,9.9599,6.2745,4.0071,4.3843,0.4792,15.6811,1.5859,0.8896,10.6573,86.6306,5.8061,1.0202,1.5322,5.6899,2.8141,2.5005,83.5698,17.738,6.2355,40.4481,11.2668,39.1914,15.6164,33.5181,26.3821,14.4338,6.6994,10.2509,0,172.0059,0.3787,28.4639,38.1974,-0.5286,0.0
MMR_C19,109.1499,25.3658,184.1273,99.9491,1.8834,5.1995,13.6678,7.4732,8.5185,171.1722,48.01,4.2144,9.8674,31.2635,21.7483,6.955,6.6065,5.8693,5.7234,7.8213,1.5578,14.8193,37.1027,5.4471,104.8007,162.0317,430.826,96.5056,201.9956,30.617,7.3903,3.2351,5.7622,20.404,3.4806,22.3204,19.7601,25.4995,21.4477,67.2914,16.1084,24.5206,6.404,16.095,0,431.6645,0.0553,5.6958,34.3608,-0.4791,0.0
