V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T,IND_HFCE,IND_NPISH,IND_GGFC,IND_GFCF,IND_INVNT,IND_DPABR
IND_A01_02,39418.0581,1299.3553,0.0,0.0,0.808,110029.0825,14579.0002,2071.798,500.2962,0.1602,8059.7903,374.8442,2795.1351,87.2959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.9131,1014.3081,0.0,20741.4028,0.0,3579.6209,0.0001,0.0,0.0,0.0,28148.3028,29.8184,0.0,0.0,0.0,0.0,0.0,0.0,13229.6429,0.0,0.0,0.0,0.0,0.0,175962.7158,12.3605,0.0,1086.3486,13284.0376,0.0
IND_A03,0.0,591.9345,0.0,0.0,0.0013,3779.5089,0.0,0.0,0.0,0.0,0.0,1614.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18662.5171,2.6047,0.0,0.0,838.1682,0.0
IND_B05_06,0.0,0.0,12.5049,12.3647,62.6136,185.4583,930.6273,9.5328,450.2603,24941.6048,436.4185,56.3429,90.3896,4101.6886,6853.3983,17.9196,0.1569,3.6032,61.0245,5.0739,2.7781,11.0683,6915.6584,419.3825,0.0,0.0,211.3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.782,0.0,0.0,0.0,1442.8138,0.0
IND_B07_08,0.0,214.9541,107.4322,23.7817,22.6913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.0252,11524.6955,3000.8973,0.0,0.0,0.0,0.0,0.0,87.4546,0.0,0.0,1526.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.8013,0.0,0.0,0.0,458.6759,0.0
IND_B09,230.9666,34.7356,3276.1316,1247.9859,1097.1948,63.5231,7.6077,2.177,43.0643,2576.0619,179.5566,9.8327,17.0383,776.8178,1510.9902,48.6846,0.8077,4.5644,22.067,1.9562,2.8971,6.2962,744.9793,31.5528,2277.8233,21.2154,128.4485,0.1865,2.5695,15.6081,0.0262,3.3646,0.1121,0.0,0.3649,0.0598,97.6381,3.3558,28.6938,29.0801,0.9175,9.1529,0.6909,3.7955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_C10T12,4203.0498,23.8865,377.7801,223.4309,13.1606,14622.7435,2060.1859,63.5071,183.562,215.7206,4429.2871,971.5543,1301.8699,176.5567,354.5173,52.2357,66.2103,248.5263,164.4369,245.046,65.9769,910.9793,13.4045,25.1111,834.879,234.4077,61.3308,0.6324,17.8087,37.4915,2.8021,1269.9485,47.7082,79.3603,13.8819,86.3825,38.6173,4.8788,42.0366,5974.1678,8.5446,577.237,3.5554,94.4921,0.0,144001.8267,46.306,27.2672,262.2895,7487.5483,0.0
IND_C13T15,812.2321,18.0322,555.9657,303.026,18.4069,390.0379,28853.9211,128.0814,235.9737,236.7378,3599.3563,824.3778,1999.4973,266.8918,385.3664,85.8409,123.789,325.7946,434.9519,977.5745,237.6528,1445.324,381.463,52.8122,1228.6265,340.0884,1260.2312,16.1128,410.8192,231.5935,8.225,5.9168,65.6751,77.3011,30.9935,28.9723,93.9656,13.1445,178.9519,115.9655,28.3166,149.0512,7.1771,268.0469,0.0,65067.2133,14.5012,2.5152,504.7458,4640.2622,0.0
IND_C16,432.0063,18.2095,583.2912,13.5398,4.9368,60.5737,115.2269,1766.2665,448.69,14.5761,74.6208,15.4242,31.0781,37.2702,67.8579,70.4805,18.8332,29.5523,91.2456,174.6399,74.5407,2221.2924,35.3007,6.8402,762.5709,1046.1213,71.8371,0.5736,13.1007,11.0851,1.026,3.6826,17.8358,21.9979,9.032,12.0641,15.3124,27.7126,372.3197,13.8284,7.5845,12.7818,1.2268,18.8159,0.0,1803.3052,1.338,0.0124,237.5634,300.3165,0.0
IND_C17_18,456.4479,19.2148,42.6255,80.7653,10.8876,162.7311,217.4725,140.475,6035.7944,269.8949,116.722,381.6288,132.0603,75.2176,181.0695,31.8416,152.5941,44.5571,273.1894,45.4151,20.8727,150.7367,1019.9444,40.0198,180.9723,408.5737,1929.6104,15.9298,335.3302,452.5361,62.0323,7.4284,2264.2044,521.3624,192.1221,1043.27,371.0501,142.5525,1089.6519,67.0998,849.8275,74.5404,36.242,531.6865,0.0,4840.3133,8.5479,0.0,7.0142,1416.089,0.0
IND_C19,3927.8482,35.2765,1150.0216,723.215,108.3643,1108.6364,3465.3517,98.3168,362.8556,2659.6359,4232.1811,1060.0059,1926.7897,1088.5783,5284.0255,227.2666,155.8937,540.4052,1872.5817,606.6694,176.7665,1312.4578,5195.8116,826.7652,4375.9981,4465.8834,13483.2533,22.8198,493.9159,1752.1757,328.9211,149.895,175.3138,2465.3127,263.4279,601.1695,3022.5928,372.8935,6468.1936,25.368,224.5839,34.9124,48.8475,1868.5706,0.0,13009.9012,0.9973,0.0,0.0,2180.6013,0.0
