V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T,SWE_HFCE,SWE_NPISH,SWE_GGFC,SWE_GFCF,SWE_INVNT,SWE_DPABR
SWE_A01_02,5197.3636,0.1204,0.797,2.2437,0.0497,2687.1217,11.2342,3151.5472,2217.2329,0.4663,84.7802,8.4527,9.4645,8.4513,16.1867,4.9718,0.7428,1.7152,5.2913,4.3934,1.0675,15.1647,393.6032,7.4708,142.5197,38.6743,7.26,4.8094,1.6072,25.5242,1.1051,233.4512,161.4963,2.323,11.4615,6.0054,85.9402,36.5491,26.245,31.3992,47.8236,235.533,112.2761,42.6973,0.0,3683.6289,3.5599,2.4881,264.107,135.3519,0.0
SWE_A03,0.8593,11.8771,0.0001,0.0011,0.0,26.4862,0.0021,0.0023,0.0068,0.0003,3.6644,1.8121,0.0026,0.0026,0.0028,0.0039,0.0025,0.0025,0.006,0.0092,0.0012,0.0722,0.003,0.0033,0.0756,3.0838,0.0094,1.0978,0.0044,0.1223,0.0007,58.1137,0.0092,0.0029,0.0088,0.0016,0.0048,0.0284,0.1322,0.5194,0.4143,1.6365,0.5556,0.0031,0.0,69.1619,0.0006,0.0538,0.2786,4.707,0.0
SWE_B05_06,79.3417,0.0008,7.3755,2.0168,0.0328,0.1496,0.0057,0.2282,4.912,50.3741,2.3236,0.0393,0.1327,34.0509,31.0275,0.0712,0.0048,0.0079,0.0337,3.2103,0.019,5.0904,0.3648,1.6127,13.2662,0.5136,1.0021,0.0101,0.0145,7.9774,0.5936,0.0618,0.0345,0.0209,0.0394,0.0227,1.9529,0.1211,0.0673,0.0878,0.0824,0.1227,0.1858,0.0365,0.0,2.2225,0.0009,0.0028,1.1416,4.4622,0.0
SWE_B07_08,3.1492,0.0478,6.1023,463.3822,3.9782,5.7807,0.0653,0.22,15.9058,0.3519,107.6395,0.5504,1.2068,41.9136,1632.2127,2.8333,3.1609,1.2936,0.0518,0.4114,0.0643,0.5476,7.8198,45.7407,262.5639,0.0703,49.0803,0.0301,0.0,35.6391,1.0813,0.1265,0.0,0.0,0.1357,0.0,13.0671,3.3654,1.1431,0.5648,0.0301,0.1824,6.6512,0.7554,0.0,30.3007,0.0,0.0,2.0976,42.1993,0.0
SWE_B09,0.0068,0.0002,0.0019,0.071,0.0019,0.001,0.0,0.0008,0.0571,0.0006,0.0178,0.0001,0.0038,0.0748,0.2611,0.0032,0.0002,0.0002,0.0001,0.0005,0.0,0.0,0.0251,0.0129,0.4046,0.0001,0.0078,0.0001,0.0,0.0155,0.0,0.0003,0.0,0.0,0.0003,0.0,0.0021,0.0095,0.0016,0.0022,0.0001,0.0007,0.0011,0.0011,0.0,0.0007,0.0,0.0,0.2499,0.0,0.0
SWE_C10T12,212.6347,5.0889,0.0,0.0,0.0,2043.0345,8.3675,0.0,58.4192,4.2651,246.9307,38.5975,1.9648,0.2253,0.091,0.0582,0.0684,1.0366,0.0622,1.3753,0.1085,4.8963,13.51,1.5896,0.6372,110.1594,6.4476,19.5864,10.9932,1.5102,0.1764,2223.8527,4.4496,0.0,1.8423,7.0228,1.8504,56.3936,19.4848,101.4186,194.9435,654.0753,178.4432,3.3941,0.0,10291.1287,0.0,17.3475,0.0,197.1998,0.0
SWE_C13T15,2.8342,0.6229,0.4354,5.5452,0.0997,11.2603,49.3489,8.9547,34.0934,0.9799,3.8395,3.3046,8.2468,5.2042,7.811,34.509,3.7419,5.2185,13.6965,52.5757,2.3038,29.3555,2.7832,1.3032,18.9023,20.5721,4.6905,0.5938,0.3979,5.826,0.9729,9.999,1.9838,2.5852,15.729,0.6033,3.0838,43.1939,22.9425,11.8097,3.5986,35.714,6.6717,4.4195,0.0,704.9653,0.0027,0.8459,6.5426,12.6152,0.0
SWE_C16,89.181,4.3516,1.6541,2.6103,0.0487,18.5844,1.8609,1286.2996,367.3537,2.3805,17.2644,3.7365,29.0918,182.0369,39.3189,63.3699,4.3681,23.4871,35.6388,20.214,7.2238,279.556,437.0746,8.7149,2984.5125,90.5167,18.2649,0.8882,1.2183,26.9885,2.9881,6.7155,5.9492,2.6958,9.6006,4.0587,334.14,23.8421,34.3132,18.176,15.7917,18.7414,23.3652,24.1267,0.0,471.8589,0.1326,6.2886,264.4015,48.9973,0.0
SWE_C17_18,184.3756,1.041,0.5989,8.0395,0.1744,249.2103,7.6919,163.6567,1789.0202,5.2011,51.1109,70.2527,85.8416,28.9759,27.1557,51.0326,15.4761,24.7609,60.9993,49.2377,6.6829,69.0306,61.909,46.9106,96.6544,471.3819,30.0458,4.9142,7.2729,51.5517,14.7336,28.6859,588.9858,99.2157,143.2334,64.6724,134.3767,479.358,97.0826,119.0971,156.0856,257.6168,143.3714,84.8694,0.0,773.121,0.4139,133.5717,173.0088,91.1214,0.0
SWE_C19,191.7105,6.9326,4.0355,42.0794,0.577,39.3307,5.3162,37.0755,47.9229,56.0078,52.4493,10.7479,14.7517,113.5238,63.054,22.4004,2.5242,9.4938,29.198,37.4895,3.7854,18.6101,78.9293,100.0842,533.0664,232.1811,1054.5509,159.9374,277.7041,105.7218,20.5845,12.9717,9.7638,16.3367,9.9587,12.0423,98.7654,51.1133,52.5949,51.4962,17.4433,39.3788,42.9852,28.937,0.0,1400.1001,0.0682,7.9771,14.6689,56.9691,0.0
