V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T,AUT_HFCE,AUT_NPISH,AUT_GGFC,AUT_GFCF,AUT_INVNT,AUT_DPABR
AUT_A01_02,1451.457,0.1141,0.7213,0.9858,0.0208,2390.0992,5.5762,1023.366,407.6424,1.4176,59.9068,4.691,16.7934,4.5006,6.3343,7.646,3.5553,3.4166,8.0549,3.9615,1.7736,14.7137,37.7417,6.7768,133.5135,69.6574,13.3383,0.9778,1.5602,11.5541,0.8078,211.9976,5.6829,2.3797,5.6085,10.8697,61.3235,16.9238,44.3906,19.7953,10.0569,30.1308,5.2306,4.6992,0.0,2240.5197,1.7187,185.8603,311.3952,129.2471,0.0
AUT_A03,0.0,1.462,0.0,0.0,0.0,7.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0001,0.3973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6493,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,44.0202,0.0,0.0,0.0,1.2773,0.0
AUT_B05_06,1.2262,0.0178,14.5462,1.6868,0.0875,4.3943,0.5393,1.343,1.1552,279.4821,6.8807,0.5144,0.7315,1.5272,49.9879,1.5164,0.635,1.2611,6.4841,4.4473,0.4041,1.6775,298.8214,0.7066,9.6159,4.8611,12.6909,0.0214,0.2837,1.5772,0.0648,1.6623,0.2067,0.1836,0.1367,0.2239,3.6077,1.63,1.3787,0.706,0.5857,1.8665,0.4983,0.4133,0.0,22.4465,0.0,1.3811,25.6717,13.9717,0.0
AUT_B07_08,4.0757,0.0675,0.8011,57.5353,0.5081,5.8863,0.0,0.8117,29.207,0.0013,25.9233,0.1137,1.5538,288.2758,242.9187,0.7458,0.0626,2.9558,1.4135,0.0623,0.0218,2.9,1.7608,4.5637,196.3765,1.8516,2.0396,0.0016,0.0,4.659,0.0667,0.2554,0.0207,0.0215,0.0,0.0,5.7117,3.495,4.8202,19.4107,0.6432,1.672,0.3734,0.2577,0.0,30.6403,0.0,0.0,30.286,16.0489,0.0
AUT_B09,0.1715,0.0043,0.0197,1.0142,0.0428,0.1129,0.0,0.0428,1.3303,0.0001,0.4829,0.0021,0.0654,3.603,4.5699,0.0223,0.0003,0.0293,0.051,0.0014,0.0003,0.0008,0.0831,0.117,2.9843,0.0526,0.046,0.0,0.0,0.0866,0.0012,0.0046,0.0001,0.0,0.0,0.0,0.1056,0.0651,0.0895,1.1073,0.0266,0.0303,0.0069,0.0005,0.0,0.0,0.0,0.0,0.4742,0.0,0.0
AUT_C10T12,321.0611,8.9967,0.0391,0.052,0.0009,2422.8854,59.1557,1.2252,24.5029,0.3352,89.3357,34.7854,2.1685,1.5278,2.7739,1.5633,0.5513,1.0728,2.7723,1.3264,0.1915,1.3367,1.3851,0.2209,3.1674,121.8765,36.8286,10.6719,14.1929,1.6197,0.0941,1957.6753,9.096,0.4983,0.9099,6.3161,0.7727,6.5931,15.5793,24.1695,56.463,296.2577,18.7241,18.167,0.0,9447.5269,0.0,1.4437,3.8578,379.9546,0.0
AUT_C13T15,9.8208,0.1879,0.1503,0.1897,0.0031,9.7917,247.3758,3.4965,11.5413,0.9961,4.1717,1.3171,30.15,22.7454,5.9183,12.6543,9.5532,6.2268,16.7945,30.2957,4.7816,42.1354,2.9739,0.9109,22.3234,48.2404,3.3311,0.1299,0.6484,3.5733,0.0784,11.4226,1.0022,0.4183,0.6666,5.3478,1.5922,9.2881,8.104,4.6964,2.0982,24.3384,3.2934,5.1283,0.0,1768.0975,0.0,3.2822,82.163,62.6568,0.0
AUT_C16,41.4889,0.5945,2.6461,6.4735,0.101,46.5142,4.5897,1634.8961,53.6446,0.8791,17.1898,5.5756,29.8588,23.8811,31.4447,92.2939,16.1347,21.6474,52.4884,26.4583,6.1929,294.2489,41.643,5.3754,1148.7361,128.9202,10.0362,0.3057,1.7326,7.3915,0.8378,11.8245,2.4182,2.4195,10.459,9.8637,18.6571,32.219,23.2333,53.5983,14.9049,35.8564,9.0585,5.2445,0.0,479.5709,1.1887,7.556,1090.4875,110.7236,0.0
AUT_C17_18,9.6421,0.138,0.3071,3.396,0.0481,164.831,8.5465,84.2222,1006.3869,1.4376,121.4974,27.6915,43.9332,26.3257,16.4584,28.8511,24.2833,17.7638,46.9681,11.6643,8.4573,32.0083,11.215,7.4263,41.6376,292.985,16.1494,0.7048,2.5565,13.2334,4.2774,46.8541,780.5841,13.7231,69.2158,88.1748,25.4012,461.2067,72.9298,183.5243,45.2603,71.4898,27.2217,109.2003,0.0,367.0926,0.7847,10.3644,86.1064,99.4933,0.0
AUT_C19,92.4785,0.5995,2.3602,7.1178,0.1116,21.4262,4.5278,15.3621,15.1152,34.4537,125.896,6.6009,30.5833,29.3247,103.2627,13.1235,9.5415,15.0668,14.3842,14.7372,1.3437,14.7143,42.1533,33.6085,166.6854,185.0523,254.2921,6.0774,137.8373,38.5326,3.6957,86.501,4.5003,3.5712,15.8898,15.5671,33.4699,59.1144,42.6184,53.2099,45.4316,89.0797,21.9913,26.871,0.0,984.5332,0.0328,3.7386,21.9876,42.7617,0.0
