V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T,FRA_HFCE,FRA_NPISH,FRA_GGFC,FRA_GFCF,FRA_INVNT,FRA_DPABR
FRA_C23,218.5693,15.2967,0.0,207.7534,0.2046,564.4748,19.5572,14.037,45.8643,16.2807,311.0958,129.866,92.7757,2322.0979,150.1736,257.2083,234.3483,96.2181,208.8037,484.1515,95.3257,370.5342,190.3686,226.126,10065.5733,699.7244,97.4366,7.5421,2.0749,49.8764,0.0,118.0051,6.0192,36.8706,16.5248,0.0,129.7216,462.9418,326.5591,22.8305,162.5822,480.7863,53.9197,68.3807,0.0,1911.0059,0.0,0.0,4.4292,345.5594,0.0
FRA_C24,0.8793,0.0,0.549,10.2515,0.3831,29.4255,10.7432,1.6671,13.2085,56.2797,101.4948,59.5376,82.6514,247.4816,2738.2827,3146.3956,248.3988,514.5744,1130.1665,1283.4017,321.1848,1289.5489,20.6303,453.7255,2072.5484,94.1493,10.9732,3.4789,0.3753,18.7934,3.8295,3.4308,37.9783,3.0485,5.2848,0.0,0.0,94.4972,152.4497,1.2967,0.0,0.7333,1.285,86.4974,0.0,17.4022,0.0,0.0,37.2033,248.3258,0.0
FRA_C25,428.0487,18.1925,1.8252,92.8029,0.7153,1138.6187,216.2653,64.837,313.0569,332.9454,824.8623,100.9267,241.9059,252.8795,920.4574,6660.0274,868.3076,1279.4907,2783.3707,3269.365,1097.689,3182.1916,359.3038,477.6246,9944.9723,587.2933,150.7498,18.1061,37.5452,222.2056,18.2447,162.7854,91.047,234.2337,120.2335,4.8494,301.5482,422.6514,886.6576,549.7656,33.3529,377.5006,90.9572,184.98,0.0,3183.1799,0.0,0.0,3427.465,713.109,0.0
FRA_C26,0.0,0.0,0.2986,2.5674,0.036,19.8377,4.2045,1.7338,22.2498,22.7481,33.9519,3.0084,21.4423,31.6515,43.4849,113.1315,912.8421,448.1288,328.7879,401.1496,995.0407,380.3917,77.6353,20.5103,475.4129,363.6046,8.2161,11.5741,1.6579,67.0806,46.741,22.6493,46.8705,421.6235,319.9826,74.8962,16.5552,592.7208,257.7649,172.0382,45.0793,487.3873,110.9594,220.2891,0.0,4105.7142,29.6012,67.2898,2448.7766,290.907,0.0
FRA_C27,12.0081,0.6727,0.0457,5.5149,0.0377,55.9921,9.7895,3.7109,45.5678,40.159,76.3204,6.3073,24.3389,28.4361,84.6114,231.5498,306.6671,551.1126,343.1321,402.5232,198.4073,262.1861,106.7642,37.0887,1205.3715,506.2117,27.4972,5.2066,4.1628,103.8606,41.2586,38.1305,29.9495,296.6375,176.1989,18.3314,140.8137,420.1023,164.1975,18.1022,5.153,15.173,27.4008,75.7562,0.0,2794.5369,0.0,0.0,730.1659,179.5421,0.0
FRA_C28,54.2878,35.509,0.5592,148.8438,0.4917,319.0233,52.9309,15.6712,70.2077,80.569,160.5403,18.9966,138.7462,113.934,160.2463,385.9231,252.0397,173.9484,1298.0998,1654.0174,724.8205,1624.1725,288.9992,242.6072,1986.4551,751.9664,87.887,25.4469,18.537,170.1918,10.4089,52.4287,80.0034,89.799,40.3105,13.0831,15.2295,316.9526,289.3154,118.4701,28.8515,134.4403,82.418,129.7301,0.0,457.7414,0.0,0.0,5818.2998,356.9232,0.0
FRA_C29,86.0205,1.0241,0.0,2.5801,0.0317,95.7058,4.1065,1.5025,6.7521,12.2268,26.1462,0.7549,3.6819,20.8313,12.3828,28.154,14.0654,10.5833,446.3647,4787.3738,60.7229,158.0087,22.087,118.2013,57.6176,2330.1851,175.0798,29.0459,34.1633,224.1001,13.5873,10.9145,57.994,41.7555,20.2218,16.0007,11.6226,106.8317,178.4196,104.4584,13.4715,101.8297,61.8265,70.2487,0.0,20357.6233,0.0,0.0,8043.1397,744.108,0.0
FRA_C30,0.0,17.6772,0.0,0.0,0.0072,5.3846,0.1929,0.0329,0.3959,0.3448,0.8348,0.0,0.6916,0.8236,5.1553,7.6563,0.278,1.2174,10.3317,137.9387,10677.4903,105.0833,0.6427,1.0862,3.2291,65.3724,145.94,51.8678,80.9277,39.8377,0.9779,1.1408,1.2672,2.9436,1.1098,0.5072,0.0996,37.2366,17.475,1446.1546,0.2959,1.6173,0.3541,5.8793,0.0,2141.3272,0.0,59.1,4679.5972,16.248,0.0
FRA_C31T33,3240.5905,1.2995,1.0933,126.152,1.0478,274.806,19.3665,16.8383,44.2761,64.7729,243.4999,36.3559,33.9629,65.3309,136.6972,574.7611,365.3613,149.4429,712.7995,1923.8735,4610.9742,7806.7304,72.8642,102.4592,2411.4389,2918.6354,172.0539,35.6795,439.1794,481.607,24.5847,70.7375,66.4562,293.8746,55.1825,127.1352,13.737,668.5603,349.1468,1572.5728,34.7264,1963.8758,330.9364,129.5707,0.0,8274.0082,0.0,868.523,24677.8372,95.7208,0.0
FRA_D,1303.8285,30.7105,0.5837,109.7546,1.0163,2522.8122,145.4337,67.4016,1207.5404,459.683,2748.809,297.6087,282.7692,1073.7431,2128.2163,585.659,298.9928,184.6563,272.1941,569.5689,206.8013,173.8138,42666.3128,467.5421,273.6513,3906.246,1455.1349,6.7345,19.3453,372.8252,55.0012,1199.0928,1658.2798,1057.9869,228.1451,507.1653,678.4093,1747.7193,418.3263,1674.5581,1239.7008,1475.2348,1178.2704,279.0878,0.0,37039.7836,0.0,6.6166,0.0,3.7608,0.0
FRA_E,452.9682,19.2422,0.6516,17.7404,0.1644,1017.3947,146.1798,42.0617,517.6023,300.0797,527.3229,175.2103,106.8332,343.0233,2085.385,405.9597,109.8599,86.5748,171.4821,277.4097,85.3463,238.7978,494.9324,6325.5356,1379.8634,1977.9629,95.7913,72.3178,65.8186,215.0689,64.7293,402.5161,486.0257,260.8253,368.1289,262.8935,991.5265,1803.1817,1032.4824,2962.0385,699.8632,1032.0909,338.5209,135.5065,0.0,10575.9228,0.8666,18.9261,266.6632,0.0,0.0
FRA_F,417.1396,11.7687,4.2363,32.614,0.6994,148.6008,43.7748,8.2507,56.8057,219.0573,96.6684,27.6722,58.4493,60.3858,111.7029,191.3524,82.0629,69.8477,446.572,147.6792,222.093,222.2346,1269.258,418.307,54458.5328,594.3959,113.6233,142.8153,69.9134,240.4656,33.029,85.6864,549.5073,546.7006,155.2862,1643.2808,5274.4536,2263.9293,1013.9804,4737.8355,1592.6446,1205.157,1364.0946,134.6152,0.0,16345.1582,1.6044,39.0954,204401.5058,0.0,0.0
FRA_G,8879.4017,213.1133,2.3232,387.9943,1.9721,22506.0827,3785.2302,750.927,1962.2073,1476.5722,6064.9569,2178.243,2595.1924,2117.0065,1508.8966,3256.3897,1842.5136,1573.3252,3005.4714,6618.3355,3420.6328,5049.7281,4044.6959,975.9203,13807.0594,22815.0281,3033.2687,609.8131,1052.9513,1233.2865,164.1035,10562.9644,2954.026,1288.3918,1155.6554,1598.7373,1410.5095,5437.7272,3255.9549,2385.451,2024.1088,6568.676,2361.5276,1198.3868,0.0,134091.1516,240.3106,7417.3752,14551.8699,4678.5016,0.0
