V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_A01_02,2057.8271,41.458,16.5731,7.2085,26.2589,12736.5584,713.2709,1084.3253,709.8081,0.9703,27.6106,4.2994,1528.0334,12.2566,7.5814,15.5872,211.8347,26.7329,34.2677,29.3031,579.2067,86.1553,0.1583,5.0632,3.6938,1524.2628,0.5209,0.4586,4.0143,1.2194,4.2599,900.2614,16.4265,108.8861,2.8406,169.4788,42.9616,33.2505,24.948,203.904,84.9882,18.9956,13.9151,0.1491,0.0,6823.0637,0.6019,19.0327,1622.9414,116.2223,0.0
MYS_A03,3.7055,31.273,0.4628,0.2146,0.712,729.5157,0.1419,0.0102,0.0532,0.0311,0.9664,0.1056,0.3846,0.2246,0.1297,0.1397,4.5236,0.6644,0.2551,0.5476,0.0727,0.1547,0.0018,0.1455,0.0536,192.3504,0.0068,0.0058,0.0587,0.0229,0.1223,838.2585,0.469,3.0994,0.0731,4.7882,0.6373,0.8542,0.6112,5.4854,1.5473,0.581,0.3878,0.0026,0.0,1998.4333,0.0738,0.114,1.4764,16.1266,0.0
MYS_B05_06,13.3046,1.1385,2648.3432,7.5007,54.2333,288.0843,2.9217,4.4081,5.2163,15176.8004,990.469,0.8317,9.0777,40.7777,11.5802,10.7976,62.9211,8.4922,17.886,10.5694,2.6454,24.9836,1337.9904,0.4082,278.5678,32.9174,3.9893,6.7983,10.5487,14.817,1.7564,4.1297,2.0459,11.612,0.7056,12.9786,1.822,6.5857,7.5156,14.3964,4.8578,3.0935,3.175,0.1087,0.0,44.999,0.0151,11.0989,131.31,-26.386,0.0
MYS_B07_08,3.2941,0.2209,0.711,0.5222,39.9241,2.9535,0.331,0.1208,4.8126,0.9163,10.068,0.4902,8.7748,576.2622,344.4163,18.2408,21.7512,13.3886,28.1843,18.2819,4.8248,52.4524,7.1169,0.1182,962.2905,6.9986,0.0607,0.1096,0.1971,0.586,0.1056,0.4677,0.3553,2.3605,0.3147,3.4847,1.8559,0.7866,0.6475,4.133,1.1209,0.3479,0.3303,0.0031,0.0,8.9338,0.0044,0.8073,31.5148,6.2485,0.0
MYS_B09,13.1262,5.6824,1805.6878,99.3091,494.2529,8.0415,0.1856,0.7662,9.8117,1007.674,40.8226,0.1204,4.451,96.3203,133.4423,11.8739,2.1023,0.6616,2.2072,0.2544,0.2493,0.6057,94.8091,3.3721,211.8261,6.1046,4.4556,0.5978,0.9719,3.5164,0.0063,0.6289,0.0198,0.0,0.0229,0.0199,4.047,3.9273,1.3846,4.4496,0.1699,0.6241,0.4655,0.0508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS_C10T12,2312.5887,410.3343,5.0677,11.6455,4.2536,15721.7392,44.9722,9.6534,21.4198,42.8193,300.3445,9.8875,90.8669,17.7848,22.9208,27.2434,26.1632,8.2575,6.4356,4.0708,1.6422,10.1864,8.4879,2.0837,23.5262,2959.2034,10.1119,1.2976,5.6784,10.3464,1.3499,4710.5967,2.0232,3.8115,1.3684,6.9366,12.8582,3.5912,3.8616,273.527,76.6164,176.3191,122.3635,0.7673,0.0,14795.4223,0.8736,2.6404,14.4233,35.261,0.0
MYS_C13T15,2.6726,0.1616,0.433,0.18,1.6868,70.2325,625.9819,3.4553,67.1036,0.2436,10.0361,10.0586,29.8884,8.6883,3.1328,4.5036,11.4727,5.2683,7.6759,42.6498,3.0029,44.9381,0.1993,0.7678,5.4028,481.0062,2.4489,0.597,0.4204,3.155,5.4629,32.1609,1.5683,1.6867,5.6422,69.2729,0.7341,2.4478,6.1535,61.4745,4.1037,5.3722,1.6628,0.4099,0.0,1509.6363,0.1298,0.9665,1.4081,-107.1261,0.0
MYS_C16,26.0764,2.3356,0.9386,0.9311,2.3004,24.412,15.2289,1296.1102,86.3929,1.8352,58.7993,0.2796,21.5725,41.402,43.7445,74.7701,174.058,13.9757,20.3355,9.8363,28.195,603.1415,0.0321,0.0981,1540.996,7.5134,0.1734,0.4454,0.4807,0.6056,0.1171,0.4372,0.1738,1.0398,0.1173,1.5608,1.088,0.437,0.6879,7.4288,1.7249,0.7628,1.5335,0.0255,0.0,117.3587,0.0518,0.0,2.4213,0.3765,0.0
MYS_C17_18,2.3034,0.5436,39.591,3.5289,3.0665,95.0556,16.769,34.1299,961.5,1.1543,43.4197,3.1389,41.2413,31.6156,24.4365,32.5264,148.4521,9.9287,10.1978,18.3359,5.3329,31.0029,0.2795,0.3726,3.8395,558.7354,42.8691,44.159,2.9672,60.5389,18.2676,108.9622,62.8072,74.0866,113.2326,298.7942,21.0323,135.5026,91.0898,102.8857,205.2015,39.7313,23.9164,5.3234,0.0,1984.9203,0.0964,0.232,1214.0133,-8.7175,0.0
MYS_C19,573.5571,284.5765,161.1181,183.9825,82.2229,699.4104,100.8796,180.2137,206.6666,770.9401,3847.0849,15.3846,354.1393,542.3576,700.0941,460.1072,396.6311,75.07,111.9892,67.7962,48.486,204.4298,1432.4366,77.0041,1834.9557,1485.1519,1631.9826,89.211,728.4336,1168.141,124.3525,279.4735,131.2723,85.5009,73.2141,76.0495,1012.5776,175.2204,177.3073,191.3677,61.4009,67.7463,180.3945,20.5099,0.0,4181.4542,0.0102,0.0015,86.1396,-172.5818,0.0
MYS_C20,1562.9997,8.6817,34.6086,72.4539,39.8619,735.4135,140.9922,443.1501,618.9242,986.2374,4156.6326,260.9264,3199.4892,686.6587,1011.8532,343.5589,804.7615,249.3306,123.3255,52.8746,37.0329,203.316,26.343,86.8997,592.5482,193.3545,29.7822,1.5353,13.0427,144.3935,17.0853,49.7155,46.811,4.3262,1.5148,6.2008,41.2378,54.2666,5.8894,39.0202,4.8072,14.3628,4.6522,30.0179,0.0,688.0403,0.1187,0.2275,5.0511,-445.4941,0.0
MYS_C21,27.0072,0.6397,0.2219,0.0392,0.1924,22.1748,4.083,0.9691,34.5351,0.4425,3.1879,2.699,3.5378,4.5676,0.4589,0.2465,6.9909,0.4115,3.5159,0.7654,0.071,11.2621,0.0129,0.0411,1.1143,33.8971,0.0325,0.0102,0.0284,0.0898,0.0129,0.8619,0.0238,0.1162,0.1451,0.1116,0.1165,2.0361,0.0503,22.9254,58.6735,287.9235,0.1581,0.0154,0.0,227.0866,0.0632,73.5614,1.7329,-45.5057,0.0
MYS_C22,52.4465,38.0725,6.6989,14.2747,19.2391,254.4942,58.7637,9.0913,41.3129,23.8993,347.6357,11.219,2171.2641,65.8754,126.1077,46.2209,335.3036,57.4404,129.4556,1222.4506,120.4929,67.8016,3.2707,96.316,409.1703,2376.0531,501.515,0.8524,63.1823,294.3021,0.2718,56.9516,0.4018,1.1065,0.558,2.4838,59.5644,0.9241,72.6326,59.4843,2.4887,36.9157,1.8287,6.4125,0.0,1409.1384,0.0069,0.1279,17.9424,-60.5924,0.0
MYS_C23,36.6134,0.2497,10.8929,4.0754,16.6671,73.0961,5.3863,2.7823,20.2356,0.9035,147.9525,4.368,26.3897,2084.2671,26.6711,117.705,633.1228,107.4462,8.504,5.2496,3.7482,15.8067,3.7613,0.2631,5302.6113,109.3602,0.5923,0.3815,0.3499,17.1044,0.177,0.6474,0.2834,1.1941,0.1867,2.0543,55.8601,0.5238,1.0126,18.0873,3.453,2.2507,4.8142,0.0875,0.0,323.5693,0.0073,0.0297,7.0288,18.5159,0.0
MYS_C24,2.1836,0.1304,0.6521,4.4277,10.2798,155.7428,6.1651,9.0119,35.406,61.4052,54.2958,0.4388,20.5299,59.0819,530.4768,2295.2437,1438.069,424.9311,401.6918,251.7211,69.9302,392.5958,58.8877,14.4597,873.9004,150.8454,0.2068,0.5069,0.2324,0.5986,0.0785,0.3072,0.109,0.2975,0.0781,0.4638,0.3295,0.2188,0.395,4.9598,1.0153,0.7063,1.3791,0.0902,0.0,11.4932,0.0016,0.0,8.8143,-3.306,0.0
MYS_C25,37.9001,0.3518,63.4183,45.8918,34.0705,97.225,3.8866,36.6309,24.3772,4.2041,110.2564,1.7791,73.6794,88.7755,722.3502,443.4222,1675.2916,1305.0039,594.2141,596.9107,271.9259,334.5245,0.3175,19.5797,1389.5802,316.0226,1.8889,222.9908,3.7533,5.4932,0.5439,2.3663,0.4578,1.8901,0.3399,1.6584,2.2287,1.4003,2.9655,127.5044,2.2048,2.096,3.0467,0.1876,0.0,230.1212,0.0502,0.0,1118.2088,-31.5725,0.0
MYS_C26,8.072,1.8446,47.7079,2.7012,5.832,57.0926,12.3067,21.59,344.6395,2.0563,23.2831,3.0207,107.6312,46.4511,66.356,80.2245,18310.6654,766.958,218.6916,359.1164,144.1898,147.6933,30.2641,1.4012,174.8503,1821.9071,4.5919,4.1017,19.5228,7.2305,5.1487,7.4206,5.0061,282.8844,394.4496,132.874,17.3139,271.987,38.3136,248.8164,207.7012,161.0635,93.491,4.3535,0.0,1272.0774,0.1179,6.0633,4690.2641,-4626.8667,0.0
