V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T,IDN_HFCE,IDN_NPISH,IDN_GGFC,IDN_GFCF,IDN_INVNT,IDN_DPABR
IDN_C29,77.3428,23.0881,157.4932,74.765,18.517,26.0746,14.2425,16.6401,53.7084,5.1046,25.3448,7.7364,9.4888,43.3239,8.2599,21.9145,1.5298,4.0004,58.0833,2013.3154,65.6296,20.6067,14.8104,11.9242,752.4491,1494.8397,939.3195,21.8231,105.9865,55.125,14.364,55.169,5.0857,3.1217,1.1538,199.7818,298.3862,7.384,607.0577,87.391,20.1989,16.9077,20.5734,104.4779,0.0,8350.2568,0.0,0.0,5639.6005,-922.6535,0.0
IDN_C30,8.1822,19.711,85.4454,21.3431,0.9464,11.874,8.6805,9.0908,23.0401,6.5465,12.6656,3.1105,7.6711,22.277,3.8908,12.2102,2.7549,2.5549,27.59,1.3714,1435.3958,14.8258,7.8849,6.7621,25.37,278.8969,132.4596,104.3185,361.54,42.6475,15.4616,33.7571,2.0082,1.5983,0.5262,21.3883,55.3304,0.8956,121.9536,0.0467,6.1751,1.9738,1.0133,3.6362,0.0,5163.2649,0.0,0.0,3771.1438,-724.3109,0.0
IDN_C31T33,11.8211,34.3706,21.1354,14.9304,1.1438,8.2204,4.8878,22.0547,15.7448,0.921,16.6784,7.7229,7.1325,3.0681,1.2187,7.4079,26.2316,54.9828,2.345,7.3816,27.7355,494.4318,9.4991,5.903,62.7352,152.836,107.4937,103.7388,331.1157,98.1667,5.0725,1.5502,21.0245,1.8231,18.2789,97.1555,76.9199,4.2091,533.8132,143.4839,190.003,302.6638,79.476,18.9967,0.0,6269.3438,49.3267,0.0,4358.4664,-523.3607,0.0
IDN_D,25.7369,91.1585,340.3568,91.1019,58.7976,314.2647,480.3644,130.9056,255.695,173.8743,751.8413,36.9809,317.3643,1084.3842,264.2439,283.1735,87.9924,273.1073,268.826,32.842,128.9753,360.6201,18728.3384,235.2105,1330.937,3140.6936,566.6318,89.096,516.6415,850.8105,306.4283,261.8181,769.7718,665.0272,1311.9001,467.167,841.3844,11.4837,724.1825,886.4979,510.6119,504.6881,142.1104,464.7723,0.0,7376.6151,211.6606,0.0,0.0,0.0005,0.0
IDN_E,2.5823,0.9045,18.4487,11.8046,2.275,24.4332,6.8533,1.7685,16.0635,3.6397,27.2218,6.5117,8.1523,12.3472,21.5731,8.6669,5.749,10.9824,23.4032,1.3672,18.8152,16.7205,2.539,231.2912,13.8574,152.8076,22.8025,11.3118,14.5686,41.2431,0.8891,7.2056,5.3017,2.689,0.2373,11.3665,9.8225,0.3011,140.6023,29.3041,19.5247,65.9907,20.7218,3.2135,0.0,2490.0822,191.5021,241.1241,0.0,0.0011,0.0
IDN_F,522.6452,14.0426,451.571,156.7175,36.1796,24.1133,75.3353,7.8327,20.2345,55.2768,6.7251,1.4832,3.1082,50.4163,20.8823,7.5481,26.1204,0.0007,0.2645,3.284,17.8024,34.1633,5.18,181.7874,2272.8832,2489.2039,76.634,17.5182,78.1397,351.2158,14.9551,7.9179,41.8223,34.4841,31.4751,425.2547,8413.2076,13.3044,569.74,1786.1677,515.2538,72.5182,9.0383,2.5247,0.0,1113.962,0.0,0.0,185156.3419,0.0548,0.0
IDN_G,3147.5401,941.8106,735.3251,466.1664,109.4296,17439.9664,6481.0319,1617.5241,1447.7004,1395.3471,3595.5334,126.4751,1754.8296,1372.4284,694.6883,789.5576,2195.2386,1579.7743,2537.7309,3171.2759,2146.9803,2547.5204,1760.8877,359.5358,19556.145,13579.9629,6327.224,783.8105,2446.2336,370.1189,327.2734,8846.8769,751.5463,152.686,375.6287,961.9988,1397.6259,80.6937,5075.547,1206.2472,1223.105,1737.0283,202.2253,1589.0253,0.0,57144.2918,930.0832,1092.3986,19854.8595,0.0,0.0
IDN_H49,236.7956,71.4264,1014.014,453.966,71.3867,1176.5801,337.3976,246.1202,579.3454,312.5165,462.6383,31.2116,180.9291,479.4208,315.3031,200.7291,159.4453,70.2418,119.4377,52.8594,129.4625,410.2687,401.5782,168.1431,6020.8272,7551.6696,242.2826,69.986,212.894,99.3962,277.8565,354.0172,120.0693,49.1308,19.2216,191.4013,156.714,25.6637,909.914,1315.5539,390.7366,268.5685,61.9182,93.2828,0.0,15850.5087,153.4509,32.1756,1117.8771,28.0951,0.0
IDN_H50,36.1756,9.8639,642.6565,64.4306,9.0083,188.4698,87.0338,98.9391,43.7859,124.623,66.442,1.6246,26.9003,184.3601,65.2618,28.0316,14.3802,10.7665,27.114,10.3484,29.7701,38.4925,76.0378,13.5636,277.2448,947.1586,35.8048,11.475,32.5823,176.6368,85.6639,64.7281,29.3747,11.6016,2.741,10.1308,9.8221,11.6889,310.9832,25.5199,11.6541,12.9332,1.8154,12.1099,0.0,1774.351,4.3142,6.4638,215.1062,19.3448,0.0
IDN_H51,60.1321,14.836,248.0454,58.4056,20.5386,276.8418,127.7625,46.8367,80.3299,82.4367,202.7628,16.1313,65.7103,147.9029,85.2639,78.801,47.2777,34.8703,67.5878,19.2032,57.0881,126.9228,82.0156,16.6483,691.4241,2388.5012,169.3368,35.7777,246.9407,166.9022,84.9321,69.4535,77.5399,17.5571,13.1066,253.3064,291.9954,13.932,484.5771,1612.106,158.3607,57.9836,12.6637,20.1257,0.0,20934.5648,5.6561,6.7612,257.2357,202.1231,0.0
IDN_H52,48.4084,12.7776,1056.4189,20.5696,8.8745,137.1766,41.7619,26.1417,30.7231,42.2053,81.5935,9.3824,20.8093,233.6252,41.9061,20.2682,49.1987,95.5197,45.3295,7.8901,25.2556,235.6381,48.3584,54.4316,1372.7666,1753.2108,1408.162,815.3574,1940.9266,701.0369,10.8415,43.6522,16.4822,3.8043,1.7168,6.9919,11.9483,3.5439,59.1417,12.8644,13.7109,5.8339,2.0639,8.6839,0.0,1197.1048,2.6757,3.9868,156.3768,0.0,0.0
