V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T,PHL_HFCE,PHL_NPISH,PHL_GGFC,PHL_GFCF,PHL_INVNT,PHL_DPABR
PHL_C22,8.4046,0.7707,0.3844,2.6467,0.8477,36.2095,29.3045,5.3285,7.9146,7.764,16.9078,1.2253,24.4907,2.8043,5.3013,10.0666,255.738,21.5293,15.0334,0.9331,6.812,18.854,2.825,5.0789,274.2768,39.5182,12.817,1.6384,1.8243,2.4355,0.1727,5.538,1.8427,4.8648,2.0878,13.0026,9.3542,2.6742,7.7533,15.4733,1.7313,1.4516,1.8215,3.4441,0,694.8626,0.2585,228.2996,136.7858,-18.6571,0.0
PHL_C23,56.9608,1.0493,1.3358,4.5981,0.9495,125.0802,11.7791,9.569,14.3642,67.1818,57.7798,10.2213,13.3541,46.6939,26.771,24.8638,277.6306,104.4191,54.1484,36.5395,59.1496,51.0384,51.7466,5.1323,1677.8457,69.8511,35.365,13.7644,25.1978,10.5191,0.7176,28.5881,1.8756,20.4992,2.9111,16.1741,77.2403,10.2207,17.4882,31.2973,3.0317,4.5776,17.8525,10.8906,0,243.9085,0.7422,105.0713,187.6066,-22.9319,0.0
PHL_C24,10.8238,1.7808,1.3414,8.4149,2.4995,96.8941,15.1524,14.263,20.465,31.2718,25.1064,2.7021,16.5416,8.1679,415.1087,304.4066,601.252,175.338,133.3995,41.8858,93.9234,109.2475,17.6224,20.2138,2540.0112,145.9277,42.4632,17.2441,29.2144,19.1737,1.1164,40.5147,2.4373,26.9805,4.9598,30.2585,161.3196,12.7322,34.1054,58.2236,14.1112,9.7926,8.2214,14.2429,0,107.0855,0.1609,2.4097,558.414,-25.8473,0.0
PHL_C25,6.7761,0.9274,0.3185,5.7792,4.1146,84.6202,7.3411,14.7133,5.6562,55.4337,26.3604,3.5174,13.1528,5.8386,16.2067,36.7257,475.2007,224.634,93.8297,30.0556,26.8269,19.3801,2.1811,4.7381,416.7638,51.655,64.6273,28.7356,59.0699,23.9975,0.809,42.5159,3.6327,43.1117,5.5165,23.775,52.6456,17.2995,14.4962,10.7848,1.7399,8.3344,6.9165,20.4891,0,91.2218,0.9559,54.9101,328.7905,-16.3705,0.0
PHL_C26,38.0394,9.3377,1.6197,7.6582,4.142,191.8259,29.7018,7.1611,10.139,28.329,235.7326,8.2856,19.9502,5.9597,24.6722,19.6703,2942.739,494.1456,59.3974,273.714,256.3828,65.8552,100.2305,31.6583,650.2677,838.858,188.4455,87.8842,176.727,76.4028,15.0878,244.8588,121.9166,431.4137,44.9454,241.7198,202.969,137.887,346.764,21.3062,18.8764,58.559,49.5121,293.2124,0,1792.883,3.3158,93.9126,3393.4382,-163.515,0.0
PHL_C27,14.7871,3.2585,1.5527,5.9208,1.5001,90.5893,20.7819,3.7572,8.1099,13.4997,18.3766,2.4242,8.5689,6.8573,21.5795,9.8747,514.0625,339.881,17.9441,168.8062,84.2555,17.7488,84.0569,17.1187,229.1262,213.4452,131.6425,64.1248,132.8913,52.9176,3.662,108.1454,13.6614,157.9118,16.9047,118.4867,76.2739,42.1336,58.3263,13.0171,14.0297,15.0522,10.12,35.9687,0,534.8875,1.1435,45.7109,1042.0593,-36.0702,0.0
PHL_C28,3.6473,0.6373,0.9887,13.5334,2.2203,19.4114,2.9288,0.9249,1.6274,4.0029,3.7893,0.746,4.3034,1.0948,5.1396,2.3272,60.0923,10.9609,9.4498,4.6831,2.3729,5.1354,4.3749,2.1504,31.9842,45.2307,5.9836,6.7435,3.6089,2.7686,0.3953,5.6506,1.0743,5.7684,1.2909,8.0301,8.6642,2.5908,7.5271,2.0352,1.9024,2.3453,2.525,4.3708,0,88.4727,0.3494,8.156,890.8029,-112.3126,0.0
PHL_C29,6.8498,1.5041,0.7773,1.7494,0.4831,44.8929,7.5385,1.8415,3.9358,6.461,6.9181,1.1856,2.1992,4.2377,13.3837,5.7649,81.4705,9.6907,5.1533,9.3325,12.5671,7.7778,14.3358,3.5872,32.8721,278.3918,10.5039,6.0972,3.9276,19.3608,0.8543,13.2681,1.7469,10.2576,3.5669,20.5218,15.2946,6.4149,18.9128,6.7672,10.3615,7.5508,3.5786,8.4279,0,755.0936,0.9473,139.5963,1943.6481,-74.7868,0.0
PHL_C30,2.3926,0.5066,0.3509,0.6257,0.0878,17.3131,2.6483,0.6366,1.4465,2.2268,2.7111,0.5096,0.8214,1.7655,3.7394,1.4782,37.755,3.2475,1.5453,3.3064,30.8976,3.1462,6.3411,1.54,10.8412,159.5947,4.7095,10.1241,1.6883,10.0441,0.3726,5.6514,0.7563,4.654,1.5024,8.1581,12.6592,7.4875,7.9762,2.5822,4.6658,3.4495,1.9423,4.4839,0,323.1894,0.0729,11.451,987.0961,-197.4677,0.0
PHL_C31T33,10.1088,1.7374,7.2348,1.5972,2.2857,64.4896,29.6511,45.0267,17.6271,44.1391,56.7104,26.0831,11.5095,6.4232,20.2167,18.2181,661.5421,45.0463,121.2018,15.4604,52.7412,188.9297,12.553,4.4944,209.4789,274.3902,57.3953,27.2819,56.2543,27.9756,1.7075,39.917,5.7765,50.2852,7.4825,65.4039,52.7263,16.096,35.9353,16.182,8.0954,12.1312,18.9058,28.2152,0,512.6805,1.5492,48.9049,470.9995,-34.9372,0.0
PHL_D,206.3103,49.7385,27.8185,30.4834,5.0894,1316.6093,172.846,35.9997,115.6059,214.7859,120.0474,18.3769,44.9797,132.973,289.453,71.5646,311.8613,45.7193,25.0636,88.4657,20.5259,84.1947,560.1453,69.2342,318.5534,923.8744,218.6949,54.539,55.2579,52.3801,10.1167,287.3327,26.209,186.5708,71.7598,366.2559,212.1495,78.7926,262.2072,98.4839,145.5369,146.3508,48.9712,96.1689,0,3988.2468,3.9275,505.3136,129.9582,-0.5148,0.0
PHL_E,34.6014,6.4397,0.7733,3.5295,1.3544,300.6139,21.7154,4.6238,14.6468,21.1532,15.2277,2.8718,5.4708,15.7171,21.4248,8.8222,35.4055,5.1339,3.1149,11.3131,2.5268,10.6652,179.9694,24.8927,46.4454,81.4521,18.8273,7.522,7.288,6.8153,1.7843,69.723,3.2522,17.7039,7.411,45.3733,31.8992,10.0312,23.9717,20.5597,15.2463,46.2455,5.8864,11.6245,0,992.6208,24.9649,16.943,33.2735,-0.2027,0.0
PHL_F,16.1374,2.8607,7.6999,38.8498,4.4059,337.9023,38.8127,8.0552,14.2695,28.5084,34.0755,21.8884,9.372,33.4126,27.6599,15.8012,101.9016,22.7261,11.8628,17.5889,8.0474,22.2816,49.4738,14.4849,122.4609,241.2795,44.8382,72.3806,49.6188,38.2824,2.1109,63.9345,79.792,19.4996,35.2532,92.0562,107.1977,135.7716,56.1774,9.6265,37.5536,34.6912,13.6572,28.1593,0,783.6609,6.0992,37.0089,33887.7235,-2.4052,0.0
PHL_G,2763.2601,831.6459,18.6212,67.8244,7.3635,8965.4152,1320.6296,159.5298,246.3229,823.4922,889.0037,107.1327,180.2272,241.5579,345.024,128.6968,2201.1317,432.6044,176.2843,338.3884,179.6241,333.2231,356.4143,45.0968,1358.2987,2389.7893,584.3486,234.2619,354.4691,173.6066,27.5158,1278.8912,173.5457,307.0022,112.0581,557.1666,327.0551,231.0888,417.6125,290.9318,139.0823,182.4735,134.1721,229.9212,0,27232.3242,21.4676,1422.0286,4065.9124,-2.7094,0.0
PHL_H49,296.6016,55.2538,3.9925,19.3415,6.1735,997.2279,90.8365,31.5513,51.8071,169.9417,141.2323,21.2746,23.009,66.3263,172.3142,58.6264,217.9451,80.939,26.9689,56.9378,19.7006,66.2827,38.9674,8.7352,216.503,552.6617,556.1667,123.7577,209.4695,173.6459,18.5382,99.6463,19.9086,112.5216,37.074,80.0677,73.9985,83.3638,101.7452,65.6122,22.1423,26.7576,15.5783,27.2394,0,4848.2052,3.344,392.6883,349.9807,16.7171,0.0
PHL_H50,4.5856,0.6489,0.146,0.788,0.1471,14.4884,2.9782,0.7085,1.2458,11.8534,3.2508,0.5963,0.2428,1.4228,7.0498,1.4433,16.776,4.1172,1.5293,1.9418,1.6195,1.9202,2.3907,0.3859,15.908,4.2788,7.8387,0.86,4.9287,1.3672,0.4892,4.1226,0.655,1.4466,0.6061,3.5886,2.3762,1.0555,3.6896,1.0308,0.6187,0.9293,0.5369,1.3559,0,27.8844,0.3485,5.4501,52.2093,450.2049,0.0
PHL_H51,31.3378,5.4402,0.4869,2.5245,1.4844,93.7753,17.4126,2.9627,6.5821,48.2106,31.4174,2.6161,5.3711,7.4445,24.6004,6.9113,59.035,16.0914,4.895,6.8881,5.2905,7.165,8.6616,1.2693,56.9801,149.1601,30.866,7.2288,175.0305,5.2221,1.2374,17.1168,2.3952,9.9022,2.4892,23.8105,10.0965,6.2887,15.7127,111.0037,3.5473,4.7557,3.1296,8.842,0,3347.7295,1.6872,72.2964,133.0373,226.9251,0.0
PHL_H52,89.7607,9.9245,2.0937,16.4206,5.7523,280.188,52.1429,39.1313,16.467,66.301,66.5436,5.3949,6.2304,24.8163,177.6073,71.9808,68.1286,105.235,33.1027,64.0815,6.6077,44.0787,5.5532,2.466,95.1181,85.3044,394.4956,16.3433,242.0458,40.9193,30.3103,54.8347,2.0783,13.9105,2.8875,25.8169,27.4152,7.609,65.8215,26.2174,4.324,6.7579,6.0199,5.2317,0,385.3631,2.8462,74.7646,76.6088,6.7051,0.0
PHL_H53,4.188,0.8972,0.0842,0.5172,0.1643,18.2923,2.4211,0.7831,1.5683,2.5637,1.7439,0.2117,0.3602,1.2309,3.0266,1.4948,6.0862,1.2894,0.5778,1.9082,0.3055,1.2564,0.1036,0.0431,1.2556,2.2251,3.8336,17.4413,5.3856,3.2749,3.4763,1.1019,31.57,28.6563,2.62,18.4155,4.1322,2.5035,9.5353,43.9301,14.1043,0.3212,0.8985,0.2443,0,47.0287,0.2764,377.9471,0.923,0.0541,0.0
PHL_I,104.6736,22.3308,0.0854,0.4114,0.7748,605.6192,3.0723,0.5599,1.8416,3.9695,4.0375,0.2808,0.4074,0.9506,1.2032,0.6979,6.2547,2.1855,0.5167,1.9532,0.3782,1.9512,1.3404,0.3669,4.9378,99.2336,6.6641,4.1734,2.2635,1.849,0.1768,1015.6458,0.7117,2.6344,4.6695,24.4823,5.5197,6.2289,11.816,260.9257,1.983,4.821,18.3313,3.0403,0,9384.785,8.8011,2512.5276,15.9695,-0.029,0.0
PHL_J58T60,3.9234,0.8636,0.1235,0.4918,0.149,16.3387,2.7727,0.5875,3.0552,4.9094,4.4873,0.3818,0.7424,1.1427,1.4311,1.2325,10.1304,1.877,0.5364,1.3429,0.6659,1.1425,2.2918,0.6028,5.8547,50.5252,4.6709,1.6496,6.5804,1.3884,0.29,16.1328,112.118,28.2044,6.1802,24.6532,7.2324,15.3146,19.0181,88.9341,6.5232,11.0135,4.8386,5.8078,0,283.0153,9.8582,378.9136,111.4978,0.3894,0.0
PHL_J61,74.9273,20.3756,1.7691,8.4712,0.8774,353.8833,44.2796,9.1996,27.9999,53.272,26.4909,4.382,6.3874,21.9354,31.5348,17.5265,73.0542,11.602,6.4589,28.6956,5.6017,19.7546,45.2451,5.4223,122.6948,252.9428,50.8632,20.9351,25.5658,17.2125,4.2607,57.8639,34.8921,187.853,36.5443,180.1533,109.8503,31.841,88.5404,288.2126,25.8972,43.5779,13.0636,29.8467,0,2578.1807,2.0752,1482.559,99.3868,4.0186,0.0
PHL_J62_63,7.6,4.0512,0.1668,0.6801,0.3853,34.9533,3.3527,0.6809,1.6258,4.6916,4.1043,0.7168,0.7701,1.3291,1.9362,1.126,8.4048,1.7971,0.6694,1.6799,0.8901,1.4409,2.2806,1.0965,12.9756,23.4837,7.4611,5.8177,3.8875,5.3456,0.6404,10.4312,3.4174,12.7823,6.595,37.0371,10.3303,5.0503,14.4159,61.4822,2.9677,7.2001,1.3732,2.7121,0,115.2535,1.474,197.4661,113.0956,1.1032,0.0
PHL_K,319.754,142.1721,10.6818,36.0367,5.1738,1502.9128,206.429,43.1953,118.3979,435.6339,154.0339,23.5673,35.9519,371.4478,166.0311,87.0093,346.119,57.691,43.8269,141.226,37.8519,57.8824,317.4291,44.1856,869.6795,1761.5609,350.205,187.6617,368.4367,154.5868,15.8393,322.1907,66.1722,308.2528,139.3192,5881.5857,525.0465,344.0447,491.832,1589.5703,139.4552,192.8945,64.7888,163.8016,0,10413.1616,27.0839,8450.7632,195.1981,1.7139,0.0
PHL_L,83.2333,11.357,12.7194,37.7508,1.3053,216.5695,180.1697,40.1864,37.4913,460.5855,25.3227,8.0921,55.6288,45.0231,31.4075,62.6315,91.8193,44.2541,30.7307,59.9429,21.5408,58.1634,16.2868,40.7174,27.7106,1372.1965,161.4925,65.3519,25.3004,69.7905,20.4695,212.3261,76.5995,368.0076,146.4131,1016.043,368.4404,135.0346,462.7702,92.7625,142.6937,127.3395,18.2245,149.0664,0,12415.1807,28.713,411.646,2451.6966,-0.1566,0.0
PHL_M,64.5071,12.0099,1.0764,7.9582,9.6995,254.1753,25.8556,5.3229,17.8391,28.8113,107.8502,11.194,9.1919,19.0391,20.3633,12.4802,145.2601,15.3507,5.9535,15.393,16.6545,13.6443,41.776,23.5662,179.4628,196.6207,161.4249,47.2328,66.0583,44.5238,4.9755,83.1205,9.8735,57.7364,49.2773,260.0689,102.4126,127.8564,200.1836,60.2129,18.4196,99.6986,35.1176,24.4532,0,276.2147,21.1362,361.9699,365.3522,0.1172,0.0
PHL_N,133.1633,105.4304,4.1759,15.7406,7.4084,205.1955,24.297,6.8495,16.0076,25.2805,45.1714,3.7393,4.7056,14.7002,23.2317,11.1103,55.6212,9.9962,6.9236,13.6404,4.1019,12.2634,28.8794,17.5016,457.9591,178.8826,449.1414,266.4383,296.3443,222.4004,16.5255,456.1726,92.6339,683.8968,530.8825,2466.7066,328.7842,247.666,1215.7631,127.7337,32.1792,165.6406,34.856,66.8867,0,228.5019,21.6335,583.2621,169.2928,-2.8373,0.0
PHL_O,8.6487,1.6189,0.5635,2.2541,0.9283,41.9737,7.9353,2.8523,2.8724,16.645,6.9193,1.2145,2.1497,3.8748,14.8755,3.72,11.3578,4.3066,2.0853,3.4818,1.4676,3.5725,5.1445,4.0455,20.4804,134.7568,16.8089,5.6946,7.1367,9.4702,1.5827,33.9539,3.612,23.0707,8.9996,70.4165,22.2428,13.1968,32.6926,2317.8892,8.9904,14.8221,6.7656,19.5889,0,7856.2325,63.0985,8895.7935,135.8005,-0.0304,0.0
PHL_P,83.6925,7.9808,0.9604,7.4061,0.5074,281.3308,24.4225,4.7866,16.397,25.2159,111.7794,15.2955,8.704,22.2547,17.0861,11.5914,115.1941,13.2544,4.7354,14.6727,15.2679,12.9849,35.0722,21.9551,238.7555,177.6488,116.2227,31.3276,46.7716,30.8689,4.6588,103.8666,6.275,39.9454,32.3383,257.2326,102.1205,107.2333,188.9016,74.3636,26.798,85.2239,72.5758,27.4941,0,9903.6762,229.3693,449.8902,164.3961,0.001,0.0
PHL_Q,15.1642,1.0827,0.1561,0.6902,0.1346,68.9531,4.8044,0.8655,2.4266,11.4592,16.8893,2.8635,1.4089,4.2403,3.5161,2.0001,12.5456,3.0425,1.1063,3.239,1.1698,2.7618,3.5414,1.5672,41.5754,57.2269,8.8618,3.7544,3.2542,2.7714,0.8412,31.7086,1.4676,9.8505,3.8069,54.8113,14.7755,6.2548,27.7444,67.039,4.9796,114.6358,10.256,5.7843,0,5262.2932,276.6933,988.2643,29.691,-0.0133,0.0
PHL_R,7.5546,1.5888,0.16,0.7689,0.0762,22.824,4.0383,1.232,2.2625,5.6656,3.0318,0.7445,0.871,2.0586,3.0812,1.7189,7.9293,1.6084,1.1029,2.31,1.0511,2.2088,3.3155,0.6327,9.1496,59.632,5.6309,1.8487,2.7814,1.934,0.422,224.4946,4.8443,5.4693,2.4074,21.1451,7.5854,4.975,9.8934,99.9399,2.4056,3.1913,121.2313,73.0493,0,3185.3542,120.5535,509.1148,36.579,0.2889,0.0
PHL_S,23.4508,5.7692,2.461,9.5888,0.3207,101.4012,13.0717,2.0269,3.6371,5.0418,17.8378,10.4992,2.3083,8.4832,6.2195,3.514,23.8534,4.813,2.508,2.66,1.4747,11.921,7.0755,3.9512,49.7448,73.7545,17.2058,20.7966,18.3361,10.8587,0.9642,145.8293,7.1162,20.666,7.0782,63.3783,56.2431,17.3984,59.0326,41.2717,64.2043,59.4673,14.7901,224.6393,0,4815.4458,149.2877,197.4662,15.5358,-0.1097,0.0
PHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
