V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_A01_02,185489.1132,1260.5972,3228.6094,671.685,1359.4472,133490.3517,6668.2708,5843.5115,2372.4309,652.4228,2358.0802,1779.9782,3111.8508,421.1003,446.6453,262.0086,92.9144,82.3843,150.1012,189.1295,43.5439,1118.5025,1855.0587,415.9169,6649.6807,9332.3326,1302.9604,314.7577,184.9346,392.1431,36.5212,14695.9102,283.3524,394.688,133.2935,716.9354,977.9233,744.6197,1005.2496,6909.8118,3829.8572,3834.1057,626.1706,1213.4192,0.0,274913.3263,139.7822,3089.4638,15549.6665,21492.5048,117.4685
ROW_A03,551.9735,8143.0938,126.9224,22.0028,6.4531,9841.8441,36.0775,12.239,14.1702,28.5954,34.9187,13.7046,9.5738,22.2536,25.605,12.5735,6.3771,7.2202,10.898,9.3994,2.7612,27.5096,34.0048,12.7655,145.2843,233.6131,80.0531,64.0674,87.2363,21.7053,2.1661,2436.2479,21.7418,25.5701,9.8421,26.4043,25.784,38.5153,24.3109,587.5427,126.0668,395.2692,42.2598,55.7994,0.0,30715.4718,25.3261,161.1021,398.5017,1666.5806,10.6195
ROW_B05_06,4601.7498,469.5671,228240.7358,8658.8531,8467.2946,9746.8596,1207.5364,181.375,980.5141,105231.5488,16831.8853,576.2274,779.0834,2759.0565,4905.1327,550.1413,389.4,266.0963,766.9953,363.5266,155.9004,527.6779,33559.7173,1816.2445,10045.0997,9547.1782,16221.4002,1783.2396,2473.0851,2539.9863,549.2122,3559.349,443.741,1824.5346,246.0068,1305.5482,2563.5337,1310.7558,1111.6639,6348.372,5436.936,2143.7145,631.7899,1277.281,0.0,10690.318,4.6421,256.8575,15043.8759,30639.4526,61.5568
ROW_B07_08,2281.8564,197.5204,7702.3989,36615.45,4553.191,1666.3863,216.5582,34.0573,318.4872,1206.92,5535.8304,195.6574,143.4857,9322.8905,26424.9445,421.6225,143.1114,198.2401,204.4338,94.1159,30.5853,536.5143,1164.4483,348.8926,30927.8758,707.0466,299.818,22.3,30.7946,189.1272,10.6483,292.573,42.2306,74.0902,23.1313,74.4009,1158.4807,170.2219,176.2334,1868.4984,376.5157,184.3588,92.1469,248.957,0.0,4231.9348,3.0279,117.4549,3140.5791,4592.7864,7.394
ROW_B09,517.3721,96.8576,46272.906,4643.936,8218.2086,186.9719,22.5458,5.1183,90.5116,3284.9197,200.2838,11.819,19.4398,2184.7125,3982.5268,236.6853,6.4048,7.1126,25.2132,6.6598,2.6985,95.4314,628.412,43.4032,3341.2594,148.3825,145.2763,23.3829,40.0717,101.902,3.2463,40.648,11.3998,13.0796,6.1527,22.2171,170.6857,78.9935,54.7159,351.041,99.2476,66.7134,16.1626,39.3935,0.0,219.1688,0.8199,33.1931,7078.6518,12.0318,3.6691
ROW_C10T12,37354.9541,3604.9647,4668.4228,387.0769,118.9433,56708.8866,1078.3508,205.839,404.928,953.4504,2358.9651,866.1148,345.5589,473.1006,478.9743,327.7384,85.3977,101.1785,184.8427,191.6485,38.8001,337.2227,1154.8459,279.2298,3955.761,6734.8208,1416.5948,620.5743,576.6659,472.4072,20.6659,33485.4016,305.3863,262.6238,112.8201,1365.4766,936.5518,581.9601,446.7714,7512.1823,5332.6346,5093.205,894.9628,1716.9085,0.0,216085.4953,93.4092,996.373,1380.338,4655.49,413.6245
ROW_C13T15,882.77,242.4899,1182.6768,170.1375,66.0854,732.7072,43890.2922,138.5979,881.8566,342.3459,382.0569,315.8313,951.1775,883.0423,743.0326,845.4026,118.1597,399.6585,263.4478,931.1276,96.3495,2284.902,629.7582,278.1312,1815.0187,4459.7359,879.0185,160.8912,282.7367,215.8063,56.5585,1017.0228,189.1468,357.9097,198.3674,391.2631,311.6331,509.3946,475.0827,3635.54,793.0342,1400.8258,696.0139,1911.3673,0.0,74252.9446,52.9875,365.9326,1188.6433,1508.1553,261.4487
ROW_C16,450.9125,34.7579,204.6569,103.9055,19.3038,433.2063,112.9165,5405.536,1036.9433,29.7372,187.9111,30.9176,93.7156,184.3701,101.552,124.4348,35.5454,63.0456,104.4546,135.7615,49.704,4755.4173,209.5637,37.0287,9269.6067,532.3622,102.4273,13.3852,13.312,69.5259,6.9254,80.915,50.3636,37.2982,14.3974,48.361,683.881,102.3405,71.2462,246.2205,141.738,91.7167,47.2335,346.942,0.0,2776.8166,6.9909,19.9073,918.4681,-97.4075,13.2501
ROW_C17_18,538.9615,57.9879,358.575,87.1169,32.0301,4350.1959,652.0047,262.9505,10668.7271,130.9959,876.9163,843.8038,371.5301,882.9049,214.0555,127.4619,185.2528,206.6547,156.3416,99.358,17.7766,503.0639,233.5381,152.8082,755.2725,4850.2851,297.7978,46.6057,84.6291,205.8688,115.2598,544.6247,3415.9322,373.8322,212.1028,1808.7188,535.7497,1698.498,708.3342,2137.9025,2176.5365,795.4524,370.7606,1026.023,0.0,10790.5855,16.6024,349.8674,720.7455,-150.0855,45.1367
ROW_C19,6594.3637,1848.1003,7779.0917,2835.144,953.3929,1855.4765,601.0444,237.7995,375.4333,14733.224,10958.0662,336.2313,561.173,1823.7551,2647.941,327.6109,189.3632,226.8403,291.6102,218.8733,62.0978,401.4964,3670.4353,668.2973,6810.427,7151.9217,26799.6992,4058.6417,8424.4783,1361.6109,388.0357,843.9604,333.1417,629.5244,197.5633,847.8631,740.5341,1072.0402,1250.3828,5335.9741,1885.9098,1402.632,345.0606,1097.9768,0.0,41603.3063,3.8706,174.7789,2632.3651,5864.0558,486.287
ROW_C20,13446.8995,135.4209,3828.756,1260.4087,494.1094,2541.5181,5113.9751,755.1482,2398.4656,5588.2275,24057.6818,2091.7219,12547.3695,2882.9244,2711.9744,1555.5149,637.2611,1293.5014,607.2873,808.1307,189.6498,1310.0271,494.9946,405.8025,6430.5306,1866.6191,657.7135,144.6819,167.9175,151.6223,21.0139,495.0813,466.876,101.8432,53.6772,190.2684,1144.8898,573.9404,475.5541,899.4678,786.916,2174.2186,180.7899,1317.5989,0.0,18041.7511,22.326,579.0314,961.3765,1958.9907,44.1076
