V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_A01_02,11789.0574,4.3523,118.114,48.4124,0.1482,22576.8214,3843.4583,491.8141,170.0397,0.7415,75.9157,19.2989,184.7393,19.7491,2.5053,3.3362,0.108,2.8172,5.9634,20.7159,1.4033,113.3667,0.7689,4.9076,91.4279,351.2993,15.6096,0.7329,6.1188,1.142,3.0357,1452.3775,1.0465,1.2614,2.6753,4.7177,29.9881,74.5746,80.0761,514.1672,57.9428,46.1891,38.6539,45.515,0.0,29938.8856,0.0,195.7914,3373.9628,-6.6603,0.0
TUR_A03,3.7521,52.0102,0.0839,0.0587,0.0003,151.5263,0.0486,0.0,0.0,0.0506,0.0271,0.0,0.2535,0.8653,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.023,0.0,0.0,2.7457,18.5989,0.0,0.2802,0.1123,0.2632,0.0,310.6145,0.0,0.0,0.0,0.0,0.0245,1.1989,1.4436,2.7581,0.072,0.897,0.916,0.128,0.0,1353.5048,0.0,0.0,0.0,0.584,0.0
TUR_B05_06,6.3668,0.0655,54.4694,11.7364,0.5856,16.3287,6.0654,5.5323,1.4353,572.6159,2.1151,0.153,3.0316,29.4594,320.5335,0.2987,0.1432,0.4334,1.0707,1.3913,0.1064,1.0261,1575.731,1.7783,4.8604,70.3128,29.0161,0.2033,0.0933,0.2123,0.0162,25.0394,0.1304,0.1123,0.3538,10.8549,314.9872,1.8811,1.2804,0.7103,1.6208,2.5684,0.0997,13.9038,0.0,266.5286,0.0,0.3851,28.8608,-101.4856,0.0
TUR_B07_08,40.7101,0.259,39.974,311.4619,8.8509,93.4437,78.9472,3.7974,31.3822,225.3214,215.4001,0.3398,19.1718,1107.0314,3407.7231,26.549,0.6745,18.4132,7.6922,20.6246,0.7326,12.9807,20.6772,8.3192,684.5388,46.2441,30.791,0.4899,1.0166,0.4156,0.1227,3.0098,0.1298,0.5684,0.1182,0.79,8.1934,15.2085,5.2638,2.6875,1.1162,20.5946,0.7172,1.9714,0.0,463.9931,0.0,9.4063,156.831,-18.1204,0.0
TUR_B09,3.2585,0.1646,26.3351,31.1343,11.1783,1.6553,0.2441,0.0654,1.6881,125.667,2.7603,0.0347,0.5094,27.443,26.8178,1.7214,0.008,0.0927,0.4418,0.0412,0.0136,0.1843,56.2422,0.8137,80.5991,1.0411,4.8176,0.0883,0.257,0.4555,0.0026,0.1784,0.0024,0.0,0.0019,0.0013,1.4241,0.7571,0.414,0.8844,0.035,0.166,0.0741,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR_C10T12,1854.3375,66.3764,2.9363,17.5579,0.2689,10298.8781,135.3659,3.977,71.1395,3.2823,40.1573,22.6448,11.9643,20.4701,8.7467,13.4584,0.4116,8.6163,10.4379,4.8577,3.3842,42.7511,16.1461,15.1585,69.3917,717.2048,59.6171,5.6772,1.7984,10.1503,14.2909,8277.7783,7.7018,10.2157,4.8012,22.9943,6.2722,72.3381,185.6807,563.0446,113.1068,168.4693,79.7474,94.7151,0.0,51356.6381,0.0,1000.4808,1.2053,1.7067,0.0
TUR_C13T15,62.5126,4.3258,73.2651,148.2315,2.4849,268.6832,20810.615,8.2617,242.2882,14.129,164.5123,37.0227,158.5605,329.0613,32.1668,77.5877,9.2455,115.5592,162.6179,193.5857,13.1283,619.4222,44.4207,19.2209,370.5925,897.5879,87.5127,1.3018,18.8604,39.1473,21.4829,254.8843,9.0967,3.1118,2.9709,24.5376,49.3374,54.0555,178.9604,685.0417,96.258,67.5722,54.4827,691.4486,0.0,26232.0274,0.0,2748.202,1147.8105,-51.8652,0.0
TUR_C16,44.9532,0.8207,4.5616,0.8903,0.5945,39.4252,43.5351,910.7716,30.8732,1.7922,28.3871,2.1568,53.2148,117.3738,22.4212,76.7513,1.3529,45.7779,44.459,8.9683,13.3445,1428.5609,3.1591,7.6453,1994.3563,120.2965,18.9969,0.3495,2.2417,1.567,0.8977,5.4538,1.4322,1.6856,13.5747,4.1425,14.1607,32.2682,23.1651,14.3361,2.5373,20.3993,2.6185,92.3209,0.0,248.6208,0.0,2.046,97.2837,-24.7388,0.0
TUR_C17_18,140.5889,7.4651,2.8317,16.9114,1.0006,941.656,536.5747,88.0404,3311.5019,34.955,268.3077,64.7488,308.1894,325.6409,95.9492,112.0984,22.3254,138.0101,85.4344,72.9945,8.784,211.0204,72.0399,15.5737,185.9365,1453.3659,192.0676,3.1089,8.4261,102.7747,52.0717,299.523,546.2247,57.2136,57.8967,249.6124,34.7933,557.8122,534.1465,343.6266,269.5599,195.4649,109.7177,183.9362,0.0,2449.0709,0.0213,20.5929,102.6762,-13.7709,0.0
TUR_C19,538.0765,24.3209,175.5728,290.6476,6.2701,133.5151,88.5707,18.2453,30.4494,259.3599,132.4135,7.8671,82.908,358.7334,48.4111,47.8901,2.2419,56.3302,29.9567,28.8435,3.4107,49.6421,90.617,57.8412,870.4673,675.4577,2732.8812,131.8534,1122.1386,158.3802,52.6092,106.0212,3.7914,10.8688,5.3439,18.8509,110.3111,74.9154,151.2369,409.4453,84.8027,38.6759,8.6755,86.6854,0.0,1676.004,0.0,2.5314,23.4114,-0.773,0.0
