V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T,CYP_HFCE,CYP_NPISH,CYP_GGFC,CYP_GFCF,CYP_INVNT,CYP_DPABR
CYP_E,7.6433,0.0003,0.046,0.1516,0.0015,4.0585,0.1165,0.2244,0.2565,0.0005,0.1404,0.316,0.2288,0.4433,0.2132,0.494,0.0022,0.0157,0.1024,0.0183,0.0005,0.4795,0.8523,53.9308,1.6521,15.0167,0.2037,0.0527,0.2169,2.7535,0.1983,35.3009,1.7912,0.9319,3.3899,5.1831,41.1529,11.533,1.5965,32.5898,4.5096,11.9863,1.318,2.7755,0.0,71.0072,0.0008,1.4779,0.3163,0.0,0.0
CYP_F,8.6512,11.0615,0.1647,0.6817,0.0082,8.4484,0.6666,2.3327,1.1316,0.1263,0.3128,6.0766,1.991,1.0427,0.2357,1.2788,0.0084,0.0715,2.7069,0.0581,0.0456,1.5035,9.6401,17.115,1066.2933,111.9077,0.9566,0.1509,0.4392,81.8538,1.0485,115.1447,9.7293,5.5989,1.9467,82.4079,133.0924,21.1076,8.05,55.103,42.3783,49.6677,10.3431,14.0034,0.0,43.1746,0.0359,0.1422,658.1029,-0.0053,0.0
CYP_G,53.7176,1.6653,0.7704,3.8855,0.0412,156.1394,5.479,6.985,10.9303,0.2081,4.7304,22.2738,8.1246,19.4428,2.6761,13.7971,1.4248,2.6843,3.6363,0.7964,0.1843,15.0898,42.9159,5.5042,64.7432,122.153,29.1934,43.4171,5.5077,61.1926,3.6678,132.4382,47.5632,4.8717,20.155,47.3651,20.8337,36.0197,21.5389,19.045,11.5906,40.7368,12.9068,11.595,0.0,1257.9405,0.0457,28.534,280.7011,-1.1628,0.0
CYP_H49,4.5539,0.1999,0.301,1.3969,0.0081,13.6112,0.3213,0.754,1.0544,0.0321,0.5008,2.0153,0.8059,2.5238,0.3314,1.6543,0.1481,0.2317,0.3999,0.083,0.0172,1.5684,3.9443,0.7762,10.0089,33.1877,4.7913,2.8084,0.4632,1.4371,1.411,11.9228,3.1056,0.3088,1.8392,7.2635,1.5406,3.069,1.6325,1.3867,1.69,3.1806,3.7812,0.8714,0.0,98.6193,0.0014,6.7383,18.603,0.0,0.0
CYP_H50,0.2425,0.0075,0.0013,0.0068,0.0001,0.6581,0.0166,0.0404,0.0561,0.0013,0.0198,0.1098,0.0366,0.1207,0.0186,0.0921,0.0088,0.0138,0.0193,0.0039,0.0011,0.0745,0.2246,0.016,0.3833,0.2355,43.487,251.0606,0.2973,0.0377,2.4254,0.5012,0.4206,43.3794,0.0457,0.2494,0.0765,0.0942,0.9691,0.9965,0.039,0.2879,1.8856,0.0331,0.0,25.7291,0.0003,0.163,1.7584,1.1268,0.0
CYP_H51,0.2402,0.0071,0.0019,0.0004,0.0012,0.1438,0.0055,0.0083,0.008,0.0003,0.0006,0.0071,0.0039,0.0246,0.003,0.0173,0.0089,0.0088,0.0014,0.0016,0.0008,0.0077,0.0648,0.0022,0.0395,0.027,0.0074,0.3805,0.0195,0.0014,0.0017,0.1496,0.0032,0.0018,0.0015,0.0723,0.012,0.0067,0.008,0.0019,0.0016,0.0037,0.0031,0.0057,0.0,0.0018,0.0018,1.525,5.1326,8.4145,0.0
CYP_H52,2.7209,0.1057,0.0408,0.1936,0.0015,6.7607,0.1654,0.4001,0.5388,0.0125,0.1912,1.0595,0.3601,1.5274,0.1792,0.8917,0.0842,0.1286,0.1839,0.0382,0.01,0.7164,2.4677,0.2414,3.8408,24.0341,1.0157,160.5761,0.3335,637.7257,0.0949,5.4276,1.4703,0.254,0.4775,8.0428,0.8623,1.7808,0.741,0.97,0.5671,1.5889,0.3852,0.3545,0.0,97.536,0.0013,1.4964,14.0071,4.6421,0.0
CYP_H53,0.0255,0.0029,0.0084,0.0314,0.0004,0.2402,0.0187,0.0363,0.083,0.0,0.0652,0.1504,0.0815,0.0593,0.0226,0.1297,0.0002,0.0101,0.0146,0.0038,0.0003,0.0908,0.124,0.0354,0.2015,2.0775,0.0895,0.0032,0.0009,0.7831,0.7701,0.4234,0.1454,0.1473,0.3426,2.935,0.3158,3.4788,0.387,0.6268,0.9185,0.82,0.1893,0.1948,0.0,11.417,0.0,0.0,0.0,0.1598,0.0
CYP_I,0.1751,0.0,0.0535,0.1195,0.0031,2.8476,0.1433,0.1175,0.8208,0.0095,0.2446,0.2509,0.1392,0.789,0.0482,0.7061,0.0065,0.1246,0.4162,0.0161,0.0071,1.4979,0.498,0.3412,3.0782,27.4837,0.5188,0.1379,0.155,2.1952,0.3097,7.0822,1.8179,0.5225,2.752,10.5606,2.4857,15.4192,5.869,6.4544,3.652,3.1723,11.4478,3.2171,0.0,1304.1948,0.0,0.3147,0.0,0.0004,0.0
CYP_J58T60,0.0343,0.0028,0.1834,0.5751,0.007,4.3597,0.7109,0.4877,1.1875,0.0006,0.5616,1.1712,0.5692,0.4084,0.3086,0.9288,0.0007,0.0507,0.624,0.2876,0.0174,2.7075,1.5437,0.9921,2.2362,7.6899,2.6875,0.0342,0.0822,3.7009,1.6198,3.5503,122.5793,2.7605,23.9331,10.0537,13.16,30.1056,8.1099,6.6799,3.8369,4.4874,4.5927,2.8093,0.0,142.3264,1.7463,11.4436,63.6135,0.4386,0.0
CYP_J61,0.1494,0.0373,0.0502,0.1235,0.0019,1.8678,0.2657,0.2981,0.5897,0.0004,0.2047,0.4685,0.2175,0.6138,0.0388,0.7294,0.0016,0.0746,0.2361,0.098,0.0061,0.9494,3.2496,0.6969,3.0108,16.9381,1.1102,0.1539,0.1313,7.9795,0.7357,8.7655,25.4502,162.3389,22.4124,28.0671,3.0821,35.2781,6.3818,7.6959,3.9923,9.3564,15.1033,3.0917,0.0,243.3185,0.1355,0.7343,3.691,0.1629,0.0
CYP_J62_63,0.0385,0.0,0.0441,0.1848,0.0021,0.4065,0.0881,0.1285,0.8241,0.007,0.0217,0.0762,0.1035,0.2671,0.1129,0.7946,0.0025,0.0019,0.2716,0.0309,0.0008,0.7764,0.6299,0.527,0.9692,15.9724,1.3796,0.2247,0.0048,0.5201,0.1497,2.3672,41.8451,2.0921,174.6095,15.5148,0.8552,22.6284,1.3895,4.1024,0.192,0.4866,3.7498,2.0149,0.0,10.2899,0.1946,1.4287,4.2584,1.9551,0.0
CYP_K,17.2457,0.9951,0.3681,1.312,0.0118,12.9057,0.8527,2.0046,2.675,0.0603,1.6365,5.8348,2.17,5.4454,0.7721,4.4267,0.0265,0.1388,1.0446,0.2229,0.0416,5.0067,42.8863,4.3993,27.3593,98.1499,10.3808,57.5492,0.7935,66.9627,1.0863,45.3476,11.1418,8.8729,13.7636,806.8513,50.3307,36.0716,14.1635,2.304,6.1447,13.2073,5.6182,5.2566,0.0,297.705,2.9153,11.9399,12.5486,3.7174,0.0
CYP_L,0.0822,0.0104,0.164,0.4809,0.0061,8.2087,0.8024,0.6176,1.3784,0.03,0.5511,0.9029,0.7454,0.9856,0.2148,1.4153,0.0084,0.1283,0.9442,0.0916,0.0283,3.0524,2.1646,0.9192,4.1182,129.8618,2.3348,0.0597,0.0448,9.5496,1.6009,69.6745,4.1128,3.0081,3.2934,40.3275,32.3817,43.0921,8.9348,16.551,12.5064,14.38,7.9237,10.7199,0.0,1610.3248,0.329,0.259,134.6336,0.0122,0.0
CYP_M,3.3309,0.0418,0.321,0.8775,0.0139,14.1643,1.2482,1.6275,2.0502,0.0769,1.2024,2.4156,1.2487,1.6593,2.3611,3.6247,0.0182,0.2027,1.2321,0.3644,0.1004,5.0121,4.4188,5.2593,28.6383,110.2482,4.0651,235.6123,3.0399,34.8814,1.2712,55.338,53.561,10.9768,6.1491,1018.4154,15.1654,227.4638,13.847,16.8409,22.4082,20.2068,12.0549,10.2629,0.0,57.3142,4.725,63.4986,38.2345,0.4692,0.0
CYP_N,1.7451,0.0071,0.2746,1.3622,0.0169,2.7328,0.3728,0.1649,0.2387,0.0112,0.4231,1.6255,0.4439,0.7416,0.0819,0.3094,0.0116,0.0192,0.5577,0.0721,0.0093,0.9949,2.6057,1.7876,5.1674,31.7116,2.0923,16.9185,2.2683,16.2341,3.8539,27.109,15.8936,4.7947,9.2963,28.5995,4.4955,52.3005,28.5864,5.2872,13.2077,10.5212,8.3491,8.66,0.0,62.2874,0.0007,0.0006,0.3068,0.1521,0.0
CYP_O,11.8867,0.4771,0.0263,0.1133,0.001,8.1218,0.086,1.0574,0.2222,0.0372,0.2621,0.3276,0.1672,1.5741,1.2541,4.2589,0.555,0.7574,0.7213,0.1826,0.032,3.9069,1.0967,21.4501,36.1257,14.4431,0.4049,1.9138,0.1066,2.4812,0.5891,15.3249,0.9894,1.2659,0.83,3.1925,26.5731,4.698,1.4621,125.2947,3.3609,5.878,2.9204,2.6394,0.0,101.4967,6.758,1622.8197,11.0704,-1.685,0.0
CYP_P,0.0205,0.0,0.0527,0.1797,0.0015,0.4883,0.0312,0.0259,0.0449,0.0002,0.0748,1.061,0.0801,0.1447,0.0121,0.1173,0.0,0.0007,0.0501,0.0035,0.0008,0.687,0.1776,0.0522,0.121,3.6998,0.0118,1.5292,0.0059,0.7691,0.049,1.2063,1.3352,0.9132,2.3729,12.0333,0.8765,21.5941,4.4585,7.4847,11.617,1.3574,0.3816,1.0532,0.0,423.2885,7.2496,722.249,59.7098,0.0009,0.0
CYP_Q,1.7528,0.0,0.0004,0.0013,0.0,0.0222,0.0021,0.0016,0.0036,0.0001,0.0029,0.0058,0.0019,0.0026,0.0009,0.0036,0.0,0.0003,0.0025,0.0002,0.0001,0.0078,0.0058,0.0371,0.0089,0.3311,0.0062,0.0003,0.0001,0.5567,0.014,0.1771,0.0108,0.0076,0.0242,0.4015,0.0815,0.5124,0.407,0.5833,0.298,12.8325,1.1995,3.5551,0.0,579.8091,61.2185,427.0608,5.5347,0.0003,0.0
CYP_R,0.0274,0.0,0.0004,0.0015,0.0,0.2285,0.0027,0.0011,0.0542,0.0001,0.0011,0.0023,0.0015,0.002,0.0013,0.0026,0.0,0.0003,0.0017,0.0002,0.0002,0.0056,0.0052,0.0025,0.2515,0.213,0.0044,9.8863,0.0001,0.4299,0.0029,5.5673,0.771,0.0054,0.0126,1.6052,0.0548,0.5478,1.6281,1.074,0.386,0.6139,3.7477,1.2001,0.0,316.5474,40.4001,20.941,0.4507,0.0079,0.0
CYP_S,0.4058,0.0,0.0051,0.0379,0.0,1.8278,0.0148,0.0191,0.0627,0.0008,0.0449,0.0687,0.0352,0.0775,0.012,0.2022,0.0029,0.0087,0.0166,0.0026,0.0005,0.3986,0.1934,0.1309,0.3864,8.1588,0.104,1.3285,0.0138,0.4104,0.0798,23.8552,1.0441,0.4065,3.0086,5.9274,0.3531,5.6862,0.4835,1.9602,2.5983,1.8711,0.9391,5.5462,0.0,250.1106,70.0534,3.1911,0.8666,0.0,0.0
CYP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.7207,0.0,0.0,0.0,0.0,0.0
