V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T,UKR_HFCE,UKR_NPISH,UKR_GGFC,UKR_GFCF,UKR_INVNT,UKR_DPABR
UKR_J61,8.2246,0.0116,1.9942,1.3348,0.7407,13.5738,1.1461,1.5875,2.3023,0.2661,2.5874,0.861,1.5165,2.6102,3.2545,1.9147,0.3652,0.6951,1.4879,0.8378,1.2383,3.8281,11.676,4.6175,13.7447,77.141,16.7055,3.0985,5.1552,12.2046,1.761,5.8882,12.9581,342.9961,20.8475,10.6908,11.4352,40.3698,19.1271,61.0528,9.8622,7.4392,9.163,1.9251,0.0,724.8115,0.0,0.0,0.0,1.5474,0.0
UKR_J62_63,0.4399,0.0006,0.3514,0.2101,0.0869,1.187,0.079,0.1464,0.3542,0.101,0.1672,0.1216,0.077,0.3755,0.4007,0.2448,0.1329,0.0727,0.1432,0.2421,0.0864,0.4252,1.1255,0.3434,0.4675,12.5932,0.8841,0.2197,0.6887,0.8048,0.0161,0.325,1.0299,1.3971,212.9428,1.6071,0.721,8.966,0.9828,1.2173,3.3983,0.8875,0.3707,0.6769,0.0,10.1049,0.0,0.1934,46.7019,6.673,0.0
UKR_K,195.6313,0.0384,80.6033,20.1234,7.0373,192.966,6.5751,13.3941,19.1373,27.4018,74.9301,11.4545,16.9552,31.1371,91.4822,13.3809,4.4597,14.5036,42.8969,8.0918,28.0953,27.946,96.6599,29.008,63.0422,752.4429,64.9291,17.9378,23.0188,35.8007,5.2683,21.4709,5.8427,12.9907,123.4787,662.4766,217.6224,221.3016,32.9101,36.1734,54.7168,24.2587,6.0546,15.389,0.0,549.1686,0.0044,0.0217,0.6078,0.2685,0.0
UKR_L,47.6373,0.0673,85.2023,6.6381,3.0624,302.4141,7.3085,10.2842,16.9837,11.0955,22.3552,36.3586,10.096,18.4945,19.8497,8.7839,4.4239,6.1153,14.0464,6.3377,6.0548,33.2196,63.4304,14.2025,55.3198,1278.0593,57.3173,9.3078,16.7318,67.1612,1.8741,60.2017,29.7734,56.9465,267.6813,146.2791,483.0392,634.8057,40.7998,4.2191,12.9744,26.6133,11.8434,13.22,0.0,3825.3014,70.3811,16.8445,96.8609,0.1014,0.0
UKR_M,171.0712,0.2404,113.3026,36.2411,22.2108,313.009,7.6808,12.0438,21.6555,5.3084,31.6418,23.1798,11.7361,33.3922,96.2591,9.1473,3.114,8.6958,18.6718,9.7397,28.6886,39.6261,63.4992,25.7128,235.2605,694.9507,68.723,20.013,27.4816,57.2003,0.5835,29.8006,30.6041,26.969,107.2405,130.3629,331.0369,184.6743,117.6886,87.0623,69.8965,24.437,20.2755,17.9458,0.0,84.4264,0.0,174.6214,132.2059,2.0496,0.0
UKR_N,93.5768,0.1312,34.3683,26.6949,13.7492,24.9371,1.4706,3.1682,5.9604,2.4348,5.3032,0.4541,2.3096,11.1487,51.289,2.665,0.6929,2.0689,3.7421,4.4971,1.5874,4.3775,14.7313,24.0513,56.1361,86.2688,102.8037,34.4766,63.1299,75.1517,1.5569,23.1302,5.286,11.2101,59.8062,61.2962,224.953,5.0296,196.7506,0.0,26.4785,20.6796,32.7308,18.617,0.0,410.483,0.0,25.855,0.0,1.0676,0.0
UKR_O,19.2278,0.0183,9.0264,17.9122,6.8712,33.0451,0.4741,1.4286,1.9111,7.0959,12.1762,2.1822,1.7739,1.8902,7.6159,1.3913,0.9004,1.6578,3.2748,0.7224,1.8742,3.5526,66.7373,13.691,11.0089,47.5144,14.4869,3.3904,5.3627,8.8902,0.6004,2.2154,0.1917,3.873,1.6266,3.5701,27.0151,9.231,8.2388,15.7458,82.9117,20.9183,14.2405,1.1544,0.0,26.6401,0.0,6603.5804,0.0,0.0,0.0
UKR_P,1.5866,0.0026,6.0525,1.0622,0.5335,3.0657,0.0561,0.2731,0.4238,0.2759,1.2341,0.3998,0.0764,0.47,1.5141,0.2538,0.1104,0.1376,0.9831,1.389,0.2941,0.7327,5.6266,1.2318,1.8784,7.7342,3.619,1.174,3.0303,2.7583,0.2332,0.3744,0.1414,5.05,2.8284,0.8568,3.1814,7.6428,2.6896,12.9342,265.6065,2.5811,0.295,0.3283,0.0,529.7561,23.6448,4267.2027,0.0,0.0,0.0
UKR_Q,4.7919,0.0295,14.2218,8.4845,7.5771,10.6722,0.0583,0.1916,0.27,2.6026,6.892,0.4209,0.3226,1.4215,12.4991,0.3599,0.2329,0.5734,1.6093,0.7729,0.6921,2.4579,12.5449,4.664,9.7711,7.5113,16.9081,3.0106,4.8837,12.7055,0.0,2.7612,0.2181,2.0655,6.453,1.0233,1.5983,2.6934,1.4651,31.9144,0.5131,207.3995,4.273,0.6376,0.0,509.4998,139.7352,2810.1604,0.0,0.0,0.0
UKR_R,0.8419,0.0023,2.7409,0.0347,0.0356,1.662,0.0661,1.5421,2.4429,0.0174,0.1793,0.0231,0.2229,0.0992,1.0018,0.016,0.0211,0.1773,0.3628,0.0198,1.9307,0.0394,1.2107,0.5628,0.2709,4.473,1.399,1.2438,0.7161,1.3657,0.0,2.7284,21.8108,0.2388,10.8856,0.9376,7.6183,6.2245,0.6621,36.8121,3.2856,1.2555,37.3518,54.1001,0.0,197.9663,7.3681,240.101,0.0,0.2835,0.0
UKR_S,5.2869,0.0147,7.6489,1.0947,0.5535,4.533,1.1979,0.2699,0.4558,0.063,0.7818,0.2048,0.11,0.5335,1.041,0.1417,0.1081,0.2698,0.5652,0.1759,0.1327,0.9299,7.0261,4.4213,3.1489,48.5903,4.178,1.1921,1.9952,3.0042,0.2932,4.1718,0.5533,3.1859,7.9384,6.3011,15.0291,4.7275,6.1028,0.0,2.5693,8.2662,3.6603,8.5691,0.0,351.7386,355.8531,0.9889,6.2998,0.0,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.223,0.0,0.0,0.0,0.0,0.0
