V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T,ARG_HFCE,ARG_NPISH,ARG_GGFC,ARG_GFCF,ARG_INVNT,ARG_DPABR
ARG_A01_02,6715.3233,25.6137,2.9099,2.8416,0.0,28270.0241,1438.8787,84.5193,78.9725,5.0309,70.4521,19.3659,17.7516,2.5409,0.2642,2.7672,0.1097,0.1233,1.3347,4.7714,0.0509,3.8861,7.3917,3.239,109.7035,61.7469,18.5466,0.077,0.432,7.0445,0.2575,2054.8182,2.0908,10.3787,0.748,3.0872,51.0478,40.9697,65.1625,148.0697,34.8558,23.5431,4.9733,34.5446,0.0,6434.5759,0.0,0.0,1704.7552,2026.288,0.0
ARG_A03,5.3468,87.4997,0.0428,0.0003,0.0026,565.5521,0.025,0.0007,0.1206,0.2174,2.7007,0.9545,0.0091,0.0132,0.0117,0.0218,0.0154,0.0019,0.0162,0.0121,0.0019,0.0714,0.0061,0.0011,0.0063,0.2819,0.6778,0.0051,0.1908,0.1197,0.0049,400.845,0.085,0.0056,0.0022,0.0129,0.0024,0.0975,0.2999,1.4013,0.8929,1.7174,0.0725,1.8713,0.0,552.4345,0.0,0.3075,0.0121,58.3546,0.0
ARG_B05_06,4.9437,0.1199,261.712,10.0641,29.8039,12.402,1.777,0.5075,1.2633,8866.173,163.185,139.803,1.8244,19.7649,49.9807,3.0552,1.4389,1.0478,2.6815,3.9007,0.1329,7.9712,1951.7848,11.5645,361.5387,58.6767,65.6802,0.2963,2.4298,24.0402,0.9646,17.7728,2.2904,40.2155,3.9314,28.1065,173.7309,19.7034,64.7583,71.5831,35.6464,37.5234,2.005,13.9921,0.0,645.9663,0.0,0.7379,4282.6955,395.2098,0.0
ARG_B07_08,0.8736,0.1744,68.4119,266.8836,0.0143,94.617,7.9503,0.04,6.5265,81.2711,58.9876,79.6581,1.0315,531.4805,444.1983,11.8561,0.2504,0.3664,1.2949,17.3914,0.1093,1.5576,0.007,3.3298,613.5243,0.2844,0.0833,0.0016,0.1198,0.1162,0.0,10.9616,0.1544,6.5008,0.1897,0.1165,71.4385,0.7583,35.0716,21.6995,0.5065,0.3698,0.221,0.6849,0.0,137.521,0.0,1.4722,0.0487,152.6601,0.0
ARG_B09,0.0,0.0,3822.4815,63.9287,131.6347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534,0.0,27.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.9309,52.8474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7701,0.0,0.0
ARG_C10T12,2149.9968,24.6897,16.9296,11.7089,4.5195,9285.5379,79.7948,7.6818,96.5667,41.1606,258.5441,217.2221,46.4514,75.998,63.0969,28.0463,25.638,17.0099,30.8133,56.4799,1.6255,29.2392,9.2134,13.1415,141.1798,154.7286,29.6248,0.2866,37.3258,20.5811,1.2256,6995.1829,23.9132,86.559,22.6923,40.294,24.24,60.3513,101.3292,735.3526,346.8291,595.3839,105.4852,224.9907,0.0,47082.6737,0.0,241.7933,132.4301,3195.1907,0.0
ARG_C13T15,170.1944,11.9664,63.9606,1.4814,19.8541,321.6586,2308.8724,6.6575,56.4524,13.9184,28.4727,58.1684,265.5959,17.9559,9.6023,15.0388,10.8097,9.1022,27.3784,57.409,1.4487,93.1286,4.3821,39.3309,39.3417,257.691,27.3662,0.3254,14.4804,67.6612,3.7974,211.0176,12.3677,31.3542,5.6049,19.5606,68.0607,61.8918,73.1177,267.8747,98.504,191.1848,20.1222,192.7947,0.0,7169.8926,0.0,11.2386,40.1257,470.663,0.0
ARG_C16,36.8641,0.4826,0.7714,0.3154,0.1675,88.5478,5.738,281.2546,20.9076,2.6729,10.3774,6.6266,10.556,13.0223,1.7936,23.4455,5.4794,10.4188,9.5693,9.2988,0.3943,281.5483,0.4526,60.3413,406.882,517.2406,1.5252,0.009,0.5987,4.3384,0.0861,29.8137,2.9884,4.2287,0.7077,1.295,53.8815,3.8072,27.2981,11.7939,2.3436,2.4064,3.4127,3.1215,0.0,105.7963,0.0,1.1732,167.6361,67.1384,0.0
ARG_C17_18,11.7533,14.2119,2.5654,53.5335,13.2777,842.9537,58.9032,40.256,1804.979,7.4095,116.0929,169.781,35.9208,114.1972,8.1641,36.6236,64.5664,40.6217,22.686,23.7436,2.7478,45.8895,8.1802,12.025,18.6921,497.3136,24.8511,0.5388,22.2428,6.3844,27.0785,94.284,496.4455,26.0053,84.7486,466.6524,52.2321,370.4035,108.8479,228.146,205.1894,110.7159,30.196,152.8039,0.0,2006.3058,0.0,4.4969,6.4421,228.727,0.0
ARG_C19,880.3095,70.2392,15.9403,112.9045,37.8248,199.7369,31.5903,24.7624,34.9144,964.5779,597.6565,90.4921,149.4655,107.0326,89.6865,35.986,9.7693,28.2095,21.5518,23.4119,2.3328,25.3328,282.0359,135.1283,194.547,679.9172,2911.9803,6.9071,628.8253,359.2529,11.642,26.5141,8.377,15.4205,9.482,82.9941,14.7557,66.5819,82.7752,442.8755,20.7798,56.3569,11.2867,22.8699,0.0,5753.2992,0.0,1.4877,2.777,480.5024,0.0
