V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T,ISR_HFCE,ISR_NPISH,ISR_GGFC,ISR_GFCF,ISR_INVNT,ISR_DPABR
ISR_A01_02,837.9727,5.784,0.0037,0.2387,0.0084,2858.4677,0.5626,0.1396,0.0613,0.0685,29.3945,3.3536,18.9702,0.1259,0.0244,0.1445,0.056,0.0252,0.0313,0.0129,0.0207,1.7774,1.3868,1.6914,12.733,26.0473,1.2353,0.2481,0.2367,0.156,0.0411,432.5702,6.3358,0.0112,1.0276,1.2505,2.2621,16.2787,50.5185,100.4293,1.7559,5.2244,2.6844,0.0736,0.0,3625.0598,0.0074,0.0267,183.8744,49.5071,0.0
ISR_A03,0.0012,0.1738,0.0001,0.0086,0.0003,3.8102,0.0021,0.0005,0.0035,0.0262,0.0201,0.0005,3.0612,0.0069,0.0009,0.0064,0.0221,0.0037,0.0009,0.0005,0.0304,0.0086,0.0089,1.823,0.0805,0.0341,0.0402,0.0181,0.012,0.0353,0.0021,2.312,1.1538,0.0603,0.0236,0.061,1.5062,0.1036,0.0782,0.0227,0.0387,0.0068,6.1229,1.2225,0.0,108.7278,0.0,0.0,0.0,0.456,0.0
ISR_B05_06,0.0146,0.0014,0.0965,1.647,0.0862,0.0197,0.0017,0.0,0.0,193.2601,1.1673,0.0,0.0,1.5734,0.0467,0.0028,0.0485,0.0004,0.0009,0.0,0.0014,5.2381,6.7066,1.8762,0.2704,0.0052,0.0008,0.0,0.0,0.0,0.0,0.001,0.0,0.0013,0.0053,0.0,0.0003,0.0228,0.0052,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,4.4888,-4.0283,0.0
ISR_B07_08,0.6805,13.3579,0.0,0.0059,0.0001,0.0503,0.0215,0.0706,9.8915,0.0005,0.8022,9.4665,8.5075,0.0797,0.0001,0.003,0.0041,0.0,0.0001,0.0069,0.0,1061.0591,0.0001,0.0,2.2556,0.0,0.0,0.0,0.0,0.1199,0.0192,0.0,5.4847,1.8342,2.5172,0.1651,0.0001,0.7355,0.9158,4.636,0.1897,0.0,0.0,0.2707,0.0,0.0,0.0,0.0,23.7485,147.8549,0.0
ISR_B09,0.0,0.0,37.0513,1.3108,17.8027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,982.1215,17.0296,0.0727,3.8535,0.1602,3140.4302,3.9203,1.7265,5.6514,2.7012,107.9899,16.1642,2.6182,0.897,0.6846,1.0744,3.8136,9.5611,1.1853,0.0905,1.2873,25.7359,1.4147,3.3125,9.2625,4.6682,5.1393,3.434,2.291,0.4426,0.1471,1995.997,11.006,0.8489,4.7682,4.1466,6.3004,18.386,6.4859,207.2386,31.5543,35.7111,2.4351,2.165,0.0,10434.9071,0.0098,0.2921,4.3576,137.1097,0.0
ISR_C13T15,4.4495,0.0441,0.0296,1.8102,0.0443,6.5065,234.7507,0.6341,10.8111,1.8941,19.3332,0.8395,15.6093,2.7507,0.7386,5.6479,2.8538,1.0105,3.3804,2.9116,1.8249,51.2785,1.2994,6.0932,19.1125,27.3688,6.0288,3.9078,2.5121,1.7433,0.1829,8.4154,0.2744,0.0655,0.7477,1.712,2.4967,12.5585,9.6079,24.1581,4.4734,30.3259,7.512,5.3642,0.0,1198.929,0.0255,0.0925,5.6253,14.3921,0.0
ISR_C16,0.8207,0.0277,0.0047,0.3822,0.0119,5.1659,1.0435,61.6873,4.9699,6.0236,7.4942,0.0587,4.2727,5.7389,1.6802,3.9226,2.4195,1.3677,0.6857,0.7932,0.9672,160.2548,0.3057,0.1686,101.5579,0.9474,0.2079,0.1152,0.0646,0.0352,0.0098,0.7773,0.0374,0.0084,0.0254,0.1336,2.7085,0.7191,1.654,3.1799,0.1897,0.3625,0.2507,0.1491,0.0,16.0709,0.0,0.0,5.7133,2.0694,0.0
ISR_C17_18,65.7506,0.1842,0.0155,1.2162,0.0298,151.2074,7.9766,11.0826,425.5802,17.4695,81.197,22.9767,44.2376,18.8986,4.988,30.3001,20.6763,6.2327,11.0428,1.1947,8.6863,79.0539,5.3799,11.3687,51.7641,165.1536,4.6846,1.8964,1.8476,8.2065,1.8226,15.5699,148.595,3.5869,7.9024,34.0328,3.4027,233.2831,5.4471,82.588,49.6579,59.6551,38.4449,7.652,0.0,512.1547,0.0071,3.3392,6.5132,17.0774,0.0
ISR_C19,31.0942,2.1804,0.4856,35.1461,0.5897,76.006,73.3446,2.2362,25.1212,3379.4285,316.0129,29.6728,435.4926,134.3824,23.7527,30.5287,66.72,22.4692,23.1729,3.8435,8.747,151.0878,63.9519,59.8348,186.7352,196.4311,419.8093,107.3381,152.0923,8.9524,4.2121,25.0851,2.8605,12.6217,20.6091,21.5704,17.7493,57.9761,88.8702,165.1886,13.2416,30.8814,14.1935,11.1516,0.0,4487.1931,0.0125,0.0454,0.4866,78.4776,0.0
