V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T,ROU_HFCE,ROU_NPISH,ROU_GGFC,ROU_GFCF,ROU_INVNT,ROU_DPABR
ROU_A01_02,2216.4735,37.5448,0.0149,0.0086,0.0448,3813.4942,51.8635,418.659,78.5511,1.76,1.8362,0.3074,1.3714,2.047,0.2924,0.0846,0.7206,0.7707,1.0526,0.4167,0.4078,78.4333,1.2866,0.7244,36.0242,179.802,5.5152,0.4485,0.2654,1.6158,0.0015,9.2361,0.3201,0.0216,1.9607,1.0521,0.0193,37.4486,16.2098,0.245,0.6121,2.0665,1.6799,7.7493,0.0,4778.2575,0.0,275.5788,65.026,373.2491,0.0
ROU_A03,0.0001,25.0866,0.0004,0.0001,0.0001,223.7078,0.0,0.0151,0.0,0.0,0.0006,0.0001,0.0,0.0203,0.0,0.0735,0.0003,0.0,0.0,0.0,0.0018,0.0,0.0002,0.01,0.0825,15.181,0.0004,0.0,0.0,0.0,0.0,4.9138,0.0077,0.0002,0.0,0.0,0.0,0.1332,0.0,0.0,0.0,0.0266,0.0517,0.2947,0.0,140.34,0.0,0.0544,0.0,24.9643,0.0
ROU_B05_06,0.0038,0.0,0.5828,0.0002,2.0151,0.0179,0.0024,0.0284,0.0002,1004.4669,0.2132,0.0026,0.0642,0.008,3.4841,0.023,0.0,0.0,0.0,0.0031,0.3413,0.0291,647.914,2.9759,0.0006,0.7735,76.428,0.0,0.0,0.0,0.0013,4.9191,0.7283,0.0136,0.0003,0.0,0.0021,1.0991,0.0027,0.0004,0.0086,0.2428,6.6139,2.8001,0.0,124.8926,0.0,0.0,43.4341,56.4852,0.0
ROU_B07_08,0.4155,0.0885,6.4668,19.1728,2.1192,0.1278,0.8095,0.0505,0.3569,6.7555,1.7472,0.0212,2.1355,126.9869,27.0494,2.5568,0.0024,0.0372,0.0035,1.6432,0.1468,0.1773,9.1814,0.5167,19.939,19.8886,2.1003,0.0204,0.0006,0.0,0.0,0.4094,0.0826,0.0,0.0,0.0,0.0176,3.8769,0.0244,0.0033,0.0,0.0045,0.436,0.5837,0.0,19.594,0.0,0.0,6.0613,6.1106,0.0
ROU_B09,1.4987,0.059,29.3033,3.2121,12.8435,1.2474,0.082,0.0875,0.4702,62.748,1.0806,0.0157,0.2928,6.9452,11.036,0.7976,0.0136,0.0947,0.2469,0.0504,0.0202,0.1217,20.6891,0.4229,31.5843,0.7165,2.1224,0.0197,0.0312,0.3696,0.0013,0.0621,0.002,0.0,0.0041,0.0006,0.4678,0.8897,0.2241,0.3522,0.0151,0.163,0.0622,0.0501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU_C10T12,328.7082,0.7144,6.2391,0.8782,0.1228,2136.5738,30.8825,16.9796,7.2855,3.5321,11.6725,9.1502,3.3065,9.4179,6.046,10.8134,8.7871,22.646,9.6072,31.1664,4.3076,11.4844,7.4509,16.4623,72.0436,403.6045,21.6869,2.3007,5.2685,34.1355,5.9125,1129.7141,8.3733,18.6304,29.6923,9.5399,6.9331,109.5115,41.1027,24.3368,70.2234,244.8865,125.3741,230.6638,0.0,14336.9813,0.0,126.205,0.0,708.6392,0.0
ROU_C13T15,19.4268,0.136,11.0774,0.2789,0.4462,32.0926,544.8409,30.7959,7.7978,8.1149,11.1615,0.6637,50.7832,19.4406,15.4035,13.5478,14.5617,28.3026,26.214,61.9472,7.8975,101.3181,23.4036,6.3147,90.8524,482.0846,54.5544,0.5793,0.8146,12.0685,2.0905,8.35,22.1704,6.3742,9.1269,2.244,39.6401,71.9396,15.8058,47.1184,5.2599,142.0262,4.7205,47.6477,0.0,2061.2468,0.0,0.0059,0.3942,284.7999,0.0
ROU_C16,20.8801,0.6609,0.491,2.6126,0.2286,17.2731,6.7726,407.6275,33.8749,2.4183,5.5518,0.7076,5.7793,27.6358,19.371,7.9894,8.9417,21.1582,25.209,22.8247,17.0653,345.9182,7.7733,5.9718,538.4207,255.5843,34.7877,0.2953,1.2246,12.4906,2.1571,1.511,3.0266,6.8342,11.5195,2.8801,21.0911,40.2507,14.7572,0.3846,0.5442,2.364,10.871,9.1246,0.0,269.4918,0.0,0.0,0.1952,96.8803,0.0
ROU_C17_18,20.63,0.7769,3.7273,0.3779,0.213,31.235,18.9625,25.0233,129.8121,1.7393,15.6225,1.9567,5.4591,24.5083,12.6039,14.0623,19.5324,53.682,14.9411,47.0185,4.4702,39.9296,19.1517,10.2869,35.962,379.6987,15.3745,0.2727,8.4355,11.614,11.8904,5.6748,64.2748,33.8684,10.744,35.7742,27.3587,52.5043,13.7879,47.3797,128.1387,45.3192,41.5393,11.6397,0.0,482.1465,0.0,1.2386,0.0,57.3092,0.0
ROU_C19,601.9794,0.8874,24.4552,9.7209,10.9151,120.7504,27.4472,38.7442,17.8813,22.5032,135.3076,1.8101,36.756,66.9129,424.7193,31.155,3.3274,18.6046,23.0262,72.4496,16.093,19.092,309.3819,16.5396,385.5182,1348.4603,910.1297,16.0103,44.2809,31.6713,5.4817,5.4919,7.7073,17.979,29.822,14.4301,12.8648,118.7941,37.9224,25.51,2.7847,16.1789,16.8499,49.9967,0.0,2203.5284,0.0,0.0,0.0,221.8944,0.0
