V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T,MAR_HFCE,MAR_NPISH,MAR_GGFC,MAR_GFCF,MAR_INVNT,MAR_DPABR
MAR_A01_02,2344.3412,1.369,0.0914,5.9234,0.0025,7036.9537,49.3516,90.3643,71.6499,0.0,132.4219,38.3505,6.1082,2.6624,0.3756,0.2685,0.0,0.0,0.0,0.669,3.9861,6.2077,0.0,0.0,4.8163,191.7388,2.7278,1.5086,1.3791,1.3813,0.0,146.9225,1.682,0.0,1.6088,0.0,1.4882,4.2433,17.4946,9.6904,4.3834,7.2042,3.7389,12.1205,0.0,6068.0228,0.0,82.1635,204.7105,1367.5466,0.0
MAR_A03,0.0,198.0494,0.0,0.0,0.0,450.4213,0.8788,0.0,0.0,0.0,5.442,2.7632,0.0,0.0,0.0,0.0,0.0,2.413,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,6.6088,0.0242,0.0241,0.0306,0.0135,0.0,31.2116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5371,0.4723,0.8578,0.0,0.0,0.0,621.7445,0.0,0.0,0.0,127.1763,0.0
MAR_B05_06,0.0,0.0,0.0053,0.3452,0.0064,0.0,0.0143,0.0046,0.0351,1.8909,0.1467,0.0024,0.0,0.0135,0.0406,0.0119,0.0031,0.0613,0.0,0.0,0.0,0.0074,21.8879,3.979,0.0057,0.0,0.0019,0.0003,0.0007,0.0006,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0291,0.0021,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0551,0.0
MAR_B07_08,0.2526,0.2228,0.0071,4.188,0.1763,5.5891,0.2373,3.1315,0.2863,0.1336,1075.5845,52.2535,0.5089,87.2282,82.2609,113.8977,0.1381,169.1245,0.4425,1.5823,0.1593,0.7732,0.1773,0.0354,334.5838,6.9032,0.1485,0.0164,0.0426,0.0825,0.0036,0.1794,0.1755,0.044,0.0715,0.294,0.1105,0.1599,0.1789,23.8647,0.1149,0.1185,0.0508,0.2397,0.0,27.339,0.0,0.0,55.3997,196.6101,0.0
MAR_B09,0.9294,0.1911,1.4749,17.6327,0.2864,0.5715,0.0226,0.0115,0.2012,0.42,1.2788,0.0173,0.0335,5.144,3.3818,0.1981,0.0022,0.0417,0.0103,0.0088,0.005,0.0184,2.6451,0.2027,15.3404,0.1255,0.2909,0.0122,0.0387,0.0574,0.0002,0.0215,0.0004,0.0,0.0008,0.0003,0.0753,0.2267,0.2646,0.2056,0.0141,0.0252,0.0044,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR_C10T12,1678.628,9.5592,0.0,0.0,0.007,2352.6765,7.0031,0.2574,0.7228,0.0,6.4242,1.4395,0.2584,0.4971,0.0,0.086,0.1251,0.0,0.0,0.0,0.0,0.3493,0.0,0.0,0.0,111.9383,1.9064,1.16,2.7281,1.4455,0.0,678.4288,3.3718,0.0,0.3088,0.0,0.2831,0.7075,1.6746,56.6392,10.0726,12.3748,4.2528,12.628,0.0,10428.902,0.0,0.0,0.0,1493.9708,0.0
MAR_C13T15,4.7691,1.103,0.0266,2.8317,0.0148,6.01,609.5042,2.1863,3.283,0.0209,2.6267,0.6763,5.5743,0.9647,0.028,0.934,0.5898,3.0318,1.0988,3.1394,0.0866,27.455,0.2176,0.053,6.1079,12.0392,1.6076,0.3387,1.2852,0.6902,0.0238,2.804,1.6861,0.1692,1.413,0.0205,0.9259,3.0444,7.1949,37.3545,2.4656,2.9994,0.7106,3.2721,0.0,1378.6845,0.0,0.0,12.9279,299.8837,0.0
MAR_C16,2.4213,0.0585,0.0008,0.3913,0.0047,3.8617,2.3022,84.0933,5.3769,0.0056,0.2356,0.0432,0.9218,4.1322,0.2342,8.1623,0.0379,3.1808,0.3067,3.4818,8.4265,36.3622,0.0534,0.0143,307.6883,13.2644,0.099,0.0196,0.0295,0.0688,0.0176,0.1859,0.5907,0.1181,0.5732,0.0282,1.1314,1.3552,3.9889,0.0899,0.0186,0.0279,0.6502,2.5868,0.0,17.8959,0.0,0.0,31.8197,31.8202,0.0
MAR_C17_18,3.3895,0.6301,0.0337,10.5996,0.0115,168.5836,41.1327,1.0399,219.1197,0.0325,28.9696,10.3732,5.5945,37.647,2.6886,4.0021,2.2742,15.0347,2.0143,9.32,0.261,5.3423,3.8025,0.8819,15.3211,83.6302,3.8705,0.5416,1.9156,2.8203,1.0327,5.8646,49.2255,7.3455,5.5314,33.9266,2.5807,14.4431,23.2297,36.8566,27.253,23.185,9.1226,27.9071,0.0,143.8032,0.0,0.0,11.5736,82.7609,0.0
MAR_C19,2.1438,1.2761,0.0103,2.3848,0.0042,1.6196,0.1263,0.0139,0.1066,0.0507,0.4293,0.0324,0.0341,2.7634,0.3336,0.1606,0.0152,0.0781,0.0193,0.4941,0.0006,0.107,1.1957,0.1934,4.44,2.7936,5.9096,1.13,4.2038,0.596,0.0948,0.2318,0.06,0.3864,0.0414,0.0,0.0568,0.0831,0.3051,2.2003,0.258,0.3644,0.0584,0.2032,0.0,11.2325,0.0,0.0,0.0,2.6667,0.0
