V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T,DNK_HFCE,DNK_NPISH,DNK_GGFC,DNK_GFCF,DNK_INVNT,DNK_DPABR
DNK_A01_02,1112.2424,0.2026,0.3486,0.1815,2.1096,2629.4479,2.6059,73.3369,3.2477,1.6347,10.8891,53.447,4.9314,3.0583,0.2457,7.9151,3.432,2.1105,79.3124,0.7665,0.615,55.7907,54.696,23.7046,126.8527,149.7419,10.6417,5.0312,11.1057,38.6871,3.9488,163.2325,26.4319,14.2637,40.6519,22.3115,24.2111,99.7543,141.0248,57.1806,54.4588,115.7505,34.0141,19.2602,0.0,2146.1052,0.0,118.9633,397.5945,90.5984,0.0
DNK_A03,3.477,1.0082,0.0859,0.0505,0.3216,190.5542,0.0549,0.0287,0.1112,0.0335,1.647,0.9823,0.0632,0.2259,0.018,0.2881,0.2112,0.1596,1.9115,0.0732,0.0644,4.271,0.2969,1.835,16.6968,9.8317,1.5432,0.4245,2.0759,6.6209,0.2099,15.6448,1.1413,0.4297,2.9465,0.8286,1.0416,6.5034,5.1547,1.6796,1.9917,3.8105,1.821,1.1017,0.0,76.2492,0.0,0.0001,1.6225,5.1998,0.0
DNK_B05_06,4.0572,0.0008,40.3285,16.5626,2.7367,36.7666,0.5571,0.2534,3.4086,709.0714,16.4203,4.1179,2.3115,12.7196,6.3028,3.7563,0.4252,0.4606,3.4459,0.3816,0.065,0.7638,229.9098,1.5951,67.5533,5.1254,0.0838,0.032,0.0399,0.5133,0.2545,3.6313,1.1319,0.1584,0.6161,0.7609,0.7387,1.6049,15.8441,1.5214,3.6248,8.5373,2.2957,0.3558,0.0,93.9955,0.0,0.0,4.1588,25.5858,0.0
DNK_B07_08,9.4497,0.0007,5.1155,9.2066,1.4409,5.9231,0.5841,0.255,5.2079,0.1797,4.3755,1.108,4.1801,140.328,0.3637,6.2775,0.5272,0.6377,3.7545,0.4705,0.0064,0.7004,49.8347,0.4432,130.6938,3.7349,0.0964,0.0206,0.0399,0.187,0.0657,0.2387,0.2677,0.0144,0.5281,0.8193,0.1973,0.4926,4.2779,2.8129,3.9646,2.2838,0.6228,0.3662,0.0,17.095,0.0,0.0,0.1603,0.5951,0.0
DNK_B09,7.1308,1.2043,153.4029,19.4392,160.6643,7.8396,0.0623,0.2529,3.424,210.054,13.3304,2.7469,1.3008,38.4411,19.6182,8.1326,0.1892,0.2808,7.9036,0.0247,0.0351,0.9638,75.5536,3.2997,265.3326,4.1697,7.1991,4.5441,0.5814,3.2599,0.0179,0.6377,0.0344,0.0,0.0365,0.0135,10.5322,13.8032,3.9331,4.9781,0.286,2.3459,0.6039,0.5812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK_C10T12,1097.8474,76.4061,0.3559,0.21,0.2318,2810.435,10.0718,0.4499,6.2177,0.4434,148.2064,121.2525,6.5686,1.8014,0.0104,1.4877,1.6139,0.9057,26.7254,0.457,0.2353,4.8045,13.7651,6.3277,7.0074,107.8719,3.927,3.5667,0.685,6.9095,0.8414,972.265,5.8179,2.0616,15.4671,5.6686,3.6061,59.5426,19.5212,39.9691,24.4254,155.0186,17.1455,26.7487,0.0,6394.5524,0.0,11.4978,1.0802,194.5348,0.0
DNK_C13T15,2.2977,0.4205,0.0843,0.0504,0.2083,4.2947,118.9736,1.5554,10.6258,0.114,2.6653,3.3832,7.5979,4.6838,0.8485,9.7849,3.823,1.02,16.8232,1.9892,3.9828,34.5758,1.9441,6.4657,32.6744,17.9086,2.2521,1.8801,0.2805,4.3898,7.452,5.4184,1.714,1.0196,2.4498,0.8351,0.501,7.8519,19.5953,14.6587,6.1382,48.7335,7.8766,12.6125,0.0,742.8961,0.0,9.1941,26.5039,19.9494,0.0
DNK_C16,1.912,0.084,0.5074,0.377,0.2328,8.092,0.6549,103.5516,4.4754,0.1293,3.6771,1.2119,8.7598,6.0346,2.6363,13.1973,7.2474,1.6466,19.4056,3.6926,3.306,97.2362,18.5889,7.3771,750.6656,15.0168,1.499,0.6318,0.1478,2.1875,0.2687,0.8095,0.815,0.5547,1.1456,0.8679,5.6991,2.5586,10.6723,2.1809,1.7523,3.4719,7.5254,3.0287,0.0,131.6463,0.0,0.5201,24.1504,14.0781,0.0
DNK_C17_18,4.1383,0.1138,0.479,0.3628,0.4741,105.1657,2.2299,3.0041,302.6046,0.1795,16.6925,20.0748,17.4286,6.7178,3.2901,11.9333,11.5244,4.5872,20.8123,1.1461,0.5856,17.3378,1.8172,11.8777,11.4767,227.2901,2.8026,1.1447,0.4762,2.6919,7.4159,11.0416,103.6043,13.9627,31.0359,17.2841,17.303,106.0451,28.195,37.7708,32.3111,32.5647,19.7311,13.1544,0.0,381.8141,0.573,11.8244,191.0472,15.4939,0.0
DNK_C19,112.0783,34.715,1.4671,1.1482,9.4338,25.7334,0.9275,3.273,2.8523,73.3906,6.5258,1.6774,4.0787,35.9982,1.672,14.4303,1.2181,1.412,13.5841,1.1542,0.3127,13.2119,17.4816,24.5881,185.2854,119.6184,279.932,755.7375,163.8692,28.562,12.9743,8.1466,2.6672,2.449,4.183,7.1109,18.2573,20.9776,37.9079,56.084,17.0421,17.7405,7.3101,8.5817,0.0,665.9171,0.0,0.0,0.5618,27.408,0.0
