V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T,ITA_HFCE,ITA_NPISH,ITA_GGFC,ITA_GFCF,ITA_INVNT,ITA_DPABR
ITA_A01_02,3935.3966,4.2759,11.0146,0.3463,0.3659,16680.4736,505.3139,674.3776,170.6698,16.8658,108.6039,94.8273,382.5642,97.6824,155.6457,66.8005,70.2448,20.1221,101.891,47.9716,12.6726,138.1924,1329.2544,99.231,103.9573,2223.3162,113.4134,9.1975,7.7997,50.5974,21.4845,2204.5889,39.5012,34.9967,15.6898,47.1951,34.7697,256.9157,592.0317,205.1033,57.5674,154.0068,204.6611,142.2758,0.0,24095.1923,19.253,517.444,356.777,507.2362,0.0
ITA_A03,0.7729,9.7465,0.0023,0.0001,0.0,130.3337,0.8151,0.0002,0.0038,0.0015,0.6306,1.1355,0.0032,0.0033,0.0027,0.0667,0.0058,0.0092,0.066,0.0083,0.003,3.5195,0.0256,1.663,0.0996,17.7028,0.033,26.6527,0.0003,0.3375,0.0049,121.8431,0.3104,0.0015,0.2709,0.0297,0.5597,0.6419,1.3198,0.6065,0.1396,0.4273,0.3186,0.7424,0.0,1460.3035,0.0,0.0,0.0,17.1362,0.0
ITA_B05_06,2.9805,0.0502,85.1628,2.7994,0.8298,137.0902,7.6685,0.8764,10.6823,2958.7956,212.17,27.6237,3.8831,8.9149,393.7374,6.3709,2.6028,4.3595,45.8883,34.253,7.4596,11.0915,1020.2052,21.4767,95.0806,66.5021,3.3718,2.252,3.6236,184.3568,6.5841,142.4841,5.6613,2.0518,7.2644,29.9919,38.8102,47.764,33.681,140.6459,58.0364,291.3994,38.4598,8.3532,0.0,62.8207,0.7022,156.2376,748.0057,64.05,0.0
ITA_B07_08,4.1089,0.0402,0.0414,0.0119,0.1577,9.3253,1.254,2.0634,19.884,0.4553,4.0343,0.9071,2.5077,41.638,3.932,4.4263,2.636,5.269,8.0588,8.4277,2.2708,3.8229,2.5948,7.6508,97.9341,75.45,39.6516,0.3076,0.1508,0.6084,0.016,1.9132,0.2209,0.1664,1.1473,1.0633,4.9219,4.6544,2.0261,0.1117,0.3069,0.9031,0.7918,3.741,0.0,542.5745,0.0016,0.1759,10.4611,3.3733,0.0
ITA_B09,2.6574,0.1482,92.6464,0.8243,5.3266,3.8407,0.4998,0.1848,4.5282,128.9903,8.6405,0.3438,1.3176,33.9786,53.4624,7.239,0.0602,0.3154,3.54,0.1115,0.171,0.5775,58.7427,3.1829,102.3166,3.0061,6.488,0.2267,0.1962,2.9748,0.0053,0.5094,0.0125,0.0,0.0157,0.0086,6.7706,4.2155,1.8665,2.797,0.0771,0.9912,0.319,0.1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA_C10T12,2927.609,107.9464,0.0114,3.9092,0.1022,25857.1644,859.487,3.8597,56.104,44.2198,718.2975,617.8058,14.2606,7.6359,107.9606,2.1843,1.3227,1.1628,18.3069,0.8711,0.2865,17.3069,170.8842,22.1539,20.747,2702.9361,434.8577,312.5625,9.7084,69.0061,1.1286,12228.3867,9.6425,0.1141,1.9802,0.5827,89.3017,145.7866,95.0988,38.0589,29.6179,338.0816,113.9121,70.2675,0.0,76913.0964,0.0035,6.0114,2.3745,1393.9664,0.0
ITA_C13T15,123.415,33.9294,1.3985,0.0167,0.272,64.0293,18536.0489,110.8113,483.9288,9.052,197.6677,82.8496,375.1392,27.2282,39.5969,154.2491,25.5881,37.4426,121.0765,495.0978,82.1715,695.8491,28.716,30.3935,133.2214,507.1798,47.9092,3.8164,1.4208,31.3971,2.4376,33.0033,16.1532,6.8637,12.2891,10.8688,101.9134,118.4517,183.4392,54.1348,25.5606,80.5509,126.7718,156.3923,0.0,35234.2158,0.2948,50.2756,661.0382,781.2785,0.0
ITA_C16,65.3658,3.7133,5.1764,0.9027,0.1993,330.5581,86.6993,2398.7414,825.49,10.2689,30.5062,59.6039,53.5932,52.7035,58.6327,185.1519,27.8428,52.5366,130.4654,133.5637,58.6314,2924.7652,81.707,23.4627,1618.5716,282.9929,59.6729,8.7811,5.62,42.5127,1.337,56.2865,15.7701,8.1525,12.0153,16.8653,77.8085,120.8175,125.8282,126.5068,7.5972,124.3697,29.6505,105.9221,0.0,2045.4204,12.2904,34.4192,973.7776,121.822,0.0
ITA_C17_18,72.7844,5.5866,4.6336,0.1249,0.3096,1020.646,153.2636,158.4782,6005.3508,25.0181,269.499,173.7764,427.4368,113.9674,276.4534,323.9403,35.2229,251.4104,412.6133,315.587,50.3922,358.1604,244.4928,190.7798,417.124,866.7661,480.9242,29.6552,13.252,536.5757,22.39,520.454,700.4319,486.4119,336.7903,1031.6967,341.2666,2378.5837,4530.9695,533.4525,222.5697,300.7125,987.0632,439.055,0.0,4763.3521,1.6677,58.8682,172.0604,323.0713,0.0
ITA_C19,1111.0677,60.4241,67.9645,12.7868,6.3615,207.9222,76.3924,57.863,77.5221,3619.4439,1820.6047,58.4256,49.3589,284.7018,229.4972,189.1272,17.542,26.7219,368.4919,66.1233,6.0158,165.8907,600.2244,214.0454,1539.0441,1483.3912,2577.4242,1113.6734,1506.1996,185.9115,4.0341,117.266,11.0341,7.8314,32.034,57.757,55.433,150.8126,204.045,129.5115,90.5082,77.6624,61.5634,69.4875,0.0,15081.7897,0.0158,3.3453,39.7648,323.9252,0.0
ITA_C20,926.0843,7.6147,129.0004,2.0765,3.0314,1268.8911,999.8485,279.4918,908.41,635.9448,6907.3844,1362.9498,4080.5764,462.4764,437.7704,658.4838,429.1385,531.797,556.0438,612.6977,242.0485,887.7049,175.364,178.3325,763.2951,786.2992,145.6768,14.1367,11.5229,84.0792,7.7247,82.674,64.7825,24.4406,107.3612,51.683,228.2731,419.9024,230.6824,39.2154,46.5983,648.6566,93.7184,445.0597,0.0,7274.8591,1.105,287.1226,856.9524,366.8532,0.0
ITA_C21,126.7965,0.9735,9.61,0.171,0.2304,428.1237,244.5854,16.2715,51.1576,40.9521,630.4247,1366.2264,263.027,49.3515,137.5235,43.0606,35.6311,34.1761,52.0105,90.465,33.2015,78.6279,25.4678,22.9677,77.3426,136.8272,19.241,5.5462,6.3034,11.0291,1.448,72.7414,14.0037,8.1546,29.6341,19.1812,20.462,132.5574,34.2258,17.344,10.1803,3533.6161,14.0614,28.3828,0.0,6378.8277,1.4923,3037.1252,1035.6396,172.5576,0.0
ITA_C22,224.4419,10.4678,9.1184,0.2845,1.5103,1246.4436,1000.8339,130.4581,534.4562,61.715,671.6819,890.2487,3848.7944,472.2177,396.7768,1496.9573,223.9162,848.8472,2153.0028,2304.8294,275.3323,749.1183,213.1695,134.5042,2624.6578,1040.0888,953.9749,30.0601,23.9765,256.6733,9.8414,210.2058,87.6764,147.7924,169.1795,238.8765,212.6492,924.3527,1058.3651,57.4891,46.0582,448.0443,178.9346,206.0171,0.0,4995.8781,0.7195,131.3281,853.6074,363.2365,0.0
ITA_C23,273.2025,4.4172,6.6679,1.323,1.6548,981.8901,121.2664,137.6647,48.326,33.5961,503.8106,114.625,250.9426,3601.3878,432.826,461.1887,216.0425,468.1521,352.3469,945.32,250.9402,310.8629,290.7541,191.4981,6496.7389,950.3152,87.077,29.5901,6.882,77.0205,2.0193,203.669,26.8069,13.6719,78.1091,32.0181,560.5546,284.4042,231.8911,30.2705,44.0221,111.8856,93.0601,94.1368,0.0,2505.4857,0.3313,59.2922,965.0274,248.7009,0.0
ITA_C24,28.0003,4.8874,85.5722,0.2257,3.0152,219.4126,75.5643,43.9137,68.5532,13.1111,870.9886,179.0514,229.1289,623.7612,10593.498,6555.6969,357.9392,2220.6759,3363.7277,1917.0724,427.1731,1256.3323,34.3529,177.7318,1551.8019,376.7887,72.4435,0.7823,0.5194,75.8904,0.1422,6.7196,2.4264,1.1519,12.308,7.9536,288.6859,534.8112,117.7494,0.0614,0.9029,390.7873,16.5017,52.0275,0.0,0.0,0.0,0.0,12.9535,370.0916,0.0
ITA_C25,258.0687,14.1793,25.3548,0.3764,4.4775,442.7503,260.1464,141.2024,332.0437,38.696,424.8957,100.6559,708.5726,450.7576,1027.0025,12991.0207,911.1126,1824.3998,15297.347,6480.5133,733.4684,1369.594,720.5653,483.3844,4183.9394,1089.5387,931.3169,226.5063,17.4095,245.0899,12.0172,140.0068,51.0811,184.2312,290.884,109.1189,607.5873,808.1309,690.3139,79.8405,59.6703,1422.1291,240.7329,151.3516,0.0,4516.1886,0.9674,168.4224,7154.7567,663.5245,0.0
ITA_C26,48.5388,5.4507,12.1206,0.2051,0.5542,80.8562,58.9956,8.4332,36.7423,17.7468,44.1766,88.927,73.9133,34.4949,43.5293,146.8957,738.0849,373.6736,376.796,503.4148,281.0432,287.4397,154.233,47.0974,458.371,313.1009,95.0313,8.6839,25.8491,71.2133,8.4834,54.9917,122.5384,144.2491,713.2833,141.9801,73.8609,378.6411,180.769,142.4145,36.8975,360.9483,131.0921,68.494,0.0,3935.9013,1.3074,294.3123,5090.6767,-17.2787,0.0
ITA_C27,106.4324,11.509,19.2428,0.5164,1.1698,158.7773,111.8025,15.5889,84.9532,26.6425,123.0485,55.5166,193.1985,112.859,181.6101,767.8642,774.6054,4199.5353,1428.1354,1333.5558,524.3326,351.0828,376.4532,122.4307,1297.9604,664.133,191.1456,35.6611,58.3539,196.4826,11.7098,142.607,98.4802,248.1586,217.6665,57.9309,156.7129,533.6633,386.8428,161.7623,41.7368,244.3102,151.3065,98.8155,0.0,4453.0711,1.0181,193.7442,4020.1863,265.9082,0.0
ITA_C28,293.5597,8.0203,69.7733,2.3486,7.3607,631.0666,346.4533,48.4962,435.5898,101.0639,296.3744,387.0653,617.4977,225.2588,769.57,1764.9008,439.2159,1026.2069,11914.1057,2933.3701,1486.0368,980.346,463.1184,384.5527,2314.4482,1506.3717,534.2632,112.238,132.4781,333.9044,44.0405,282.0159,203.927,198.1219,333.5759,208.014,247.0831,961.5108,972.178,228.0603,62.0851,737.6149,151.1165,177.2773,0.0,3097.4829,2.3704,507.4626,20849.5186,682.9872,0.0
ITA_C29,76.3932,3.7012,7.8788,0.2518,0.9666,122.1894,77.1506,30.6868,51.2691,47.0852,389.6316,69.7514,288.5534,349.587,131.5307,800.5634,218.8728,473.0369,2471.2333,5214.1338,302.2745,826.2923,69.617,402.0283,1296.7927,2580.004,310.4349,16.1967,12.1368,149.8832,7.2095,63.3579,34.6869,52.7742,73.8958,46.5524,52.4377,228.4761,177.88,103.3223,26.3548,104.4712,75.9426,52.7449,0.0,14835.1803,2.868,632.1712,8330.272,417.764,0.0
ITA_C30,0.0,5.3531,2.1656,0.2509,0.0716,1.4527,7.3046,6.8014,1.1379,0.274,0.1034,1.0168,0.5892,1.0374,0.776,76.697,0.6179,0.635,7.2735,493.5517,3128.5332,609.3532,23.3163,37.7234,10.4208,517.4806,234.1404,68.2556,712.2188,77.6136,2.024,30.9617,14.9402,1.2679,104.0447,1.6757,2.948,133.6142,204.2201,112.4047,21.7996,14.4514,96.0786,5.3594,0.0,4006.9918,0.0,0.0,5476.3504,72.8929,0.0
ITA_C31T33,542.5599,17.0247,38.5347,1.2747,3.6778,391.6603,485.3705,293.9859,272.8065,121.822,243.882,368.9034,257.9879,131.6788,204.8849,622.2128,214.5179,339.5803,1374.4517,873.6158,267.8013,4180.2314,477.0866,361.3699,1870.9683,1259.9521,357.5056,78.9923,54.9388,263.2704,67.257,262.3381,269.1379,134.4932,217.645,124.6033,249.7666,830.6082,766.5995,552.8041,139.3391,3648.9981,298.7451,225.3086,0.0,13602.2583,2.7055,238.7817,12649.2357,176.0842,0.0
ITA_D,1173.5359,65.7073,174.3648,5.8476,6.5437,1941.4814,764.9994,308.4731,890.6868,259.1308,1525.1775,252.1773,1305.5104,1508.3101,2627.2199,906.6455,372.2832,215.9253,1638.0249,577.4284,35.9529,1149.0313,29048.2924,1529.7596,792.05,4598.3375,2035.9292,23.0538,70.0653,666.4344,407.2417,2652.1371,201.7436,602.6957,137.1189,498.3696,221.7078,1879.195,1164.572,2514.9791,873.7795,2391.1042,546.4341,2824.6091,0.0,16554.0193,0.0881,19.9147,1048.956,-20.3785,0.0
ITA_E,459.1613,0.9733,140.6633,4.6979,1.0575,1056.1534,686.5032,116.3576,503.1477,200.2957,414.2908,192.3652,358.7659,275.2767,3558.0369,952.6697,117.9958,225.6025,616.0588,403.5257,127.4452,352.6531,779.2856,4709.204,1561.3079,1682.1519,280.9168,71.7712,59.5084,281.8778,50.0279,948.7268,143.3988,466.9979,136.7395,126.0612,166.4571,506.9466,643.7046,5826.7296,217.5958,761.4,212.6637,236.2923,0.0,9517.5371,39.15,1741.156,485.6779,-0.9673,0.0
ITA_F,699.6033,3.6206,103.1035,1.3132,6.1458,873.8081,693.1234,144.5939,258.9897,76.0893,297.0344,163.1849,277.9896,273.5209,221.4409,823.0387,149.6805,246.5537,1032.9506,696.997,477.6703,553.113,516.6081,530.0987,44629.9707,3550.7275,732.6481,35.3293,24.5772,711.4183,167.0406,1346.2373,257.9508,139.9507,735.6425,1019.1065,5291.4175,3255.1095,1787.442,2094.6879,422.464,1630.6233,481.3865,279.7661,0.0,9881.2442,0.4998,287.4824,114537.4253,12.65,0.0
