V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_A01_02,6817.2368,0.91,6.3161,16.3099,0.5384,4553.4203,150.007,46.3197,11.6787,0.9991,4.949,30.1331,0.1052,1.7855,4.6721,0.0558,0.0059,0.0065,0.0083,0.0038,0.1407,1.8287,3.6061,0.2429,5.8299,149.5684,4.9877,1.3552,0.3737,188.0443,0.0535,573.9349,0.9306,1.5211,0.5249,131.2158,104.9988,77.9952,93.9772,1472.1438,41.7867,266.9477,146.9341,321.825,0.0,3759.4618,0.0,26.8138,291.6329,779.7053,0.0
KAZ_A03,2.5483,0.0067,0.0887,0.0503,0.0088,2.0091,0.0022,0.0004,0.0014,0.0647,0.0084,0.0024,0.0044,0.014,0.1361,0.0073,0.001,0.0032,0.0049,0.0007,0.0021,0.0118,0.0288,0.0087,0.1581,0.0322,0.0778,0.1914,0.0026,0.022,0.001,0.6218,0.0014,0.0094,0.001,0.0077,0.0186,0.055,2.6956,1.231,2.5978,8.2177,1.4367,0.0043,0.0,433.7949,0.0,4.5932,0.0518,55.2822,0.0
KAZ_B05_06,8.6097,0.4981,10096.2289,109.2751,126.9241,23.2177,0.1142,0.1681,3.2377,4440.7091,906.4334,2.7226,272.6426,131.223,12.0602,0.0701,0.0088,4.4211,0.0239,0.3212,0.0188,16.0898,1738.032,23.532,40.5782,316.0333,3300.09,0.3708,0.1056,8.2294,9.1431,1.1654,0.477,1.7435,0.1645,0.5989,18.5486,38.6015,17.2622,56.6558,1.8776,3.0126,16.5622,0.7673,0.0,340.6396,0.0,0.0011,3.1886,3568.3325,0.0
KAZ_B07_08,1.4746,0.1421,205.1115,800.7752,0.8977,0.8113,0.0296,0.2042,0.0225,1.701,283.6996,0.0577,0.4095,252.7347,10294.7554,1.3211,0.0127,0.0395,0.0715,0.0098,0.1645,17.1311,2.9372,3.581,533.2621,15.4523,27.1778,0.1392,0.9896,4.1935,0.5867,0.6151,0.0732,1.4251,0.0618,0.7458,74.5113,40.9951,10.9344,1.7679,18.1679,3.7157,1.4608,1.4675,0.0,13.0144,0.0,0.0229,88.947,244.6895,0.0
KAZ_B09,0.6351,0.0091,2300.9042,653.3069,104.8706,0.452,0.0217,0.0096,0.0364,0.2239,0.1489,0.0312,0.0483,0.609,1.3725,0.0755,0.0101,0.0293,0.9334,0.0108,0.0227,0.1349,1.2529,0.5297,3.2432,10.3731,2.2973,0.4341,0.0987,0.8684,0.0113,0.1014,0.1023,0.2365,0.0844,0.4152,1.0516,139.2016,1.6424,0.1504,0.4177,0.338,1.4647,0.0879,0.0,0.7298,0.0,0.0052,2.3277,0.4351,0.0
KAZ_C10T12,1326.6775,20.3949,23.9688,13.6086,7.7562,1688.7816,7.418,0.1045,13.1951,1.0322,1.1683,21.1808,0.2329,2.0371,21.1817,0.444,0.0426,0.1213,0.1317,0.1744,0.0877,1.6986,6.77,1.0031,16.2353,1284.5763,16.0756,0.1536,5.544,75.3591,0.6346,1130.5108,49.1617,1.4138,23.6248,5.1972,37.8253,211.3578,67.8491,13.1034,338.3295,199.0837,200.2353,16.1726,0.0,6039.2674,0.0,0.0222,2.7019,1069.0113,0.0
KAZ_C13T15,2.4029,9.9929,24.0084,8.3874,0.7759,4.7927,82.505,0.0133,0.5231,0.2623,0.1381,1.1622,2.5715,3.0342,1.484,0.1554,0.0085,0.0326,0.7985,0.0065,0.0456,5.7908,3.1294,1.6554,10.4977,41.0517,15.9054,0.8691,19.4631,8.8099,7.1155,27.1873,1.6212,1.4354,0.9603,1.0799,2.5991,41.4264,58.3985,3.8004,3.7729,37.6226,44.8761,15.0959,0.0,128.42,0.0,0.022,5.5269,19.3583,0.0
KAZ_C16,0.8762,0.1544,1.9281,0.3349,17.9592,0.4659,0.0329,0.7326,0.0175,0.0066,0.013,0.0203,0.3354,0.3841,0.4012,0.1383,0.0006,0.0013,0.0061,0.0326,0.1911,18.7685,0.6341,0.137,12.5518,18.6567,0.9738,0.0029,2.3212,3.1721,0.1056,4.3043,0.0086,0.6022,0.0041,0.1569,42.8279,10.4172,1.1609,1.3486,0.0928,0.0303,3.0164,1.7825,0.0,2.2993,0.0,0.0002,0.2605,1.1962,0.0
KAZ_C17_18,0.3377,0.495,4.9074,0.4589,0.1276,19.8886,0.0381,0.6566,10.4744,0.0048,0.0444,2.8883,0.0831,0.5816,2.0514,0.0044,0.0033,0.006,0.002,0.0566,0.0009,0.1085,1.3276,0.0181,31.7253,152.3712,2.673,0.2136,0.262,2.4856,27.0207,9.2279,51.4292,1.4632,25.0219,8.8269,13.0248,55.3403,14.9962,55.0563,143.252,4.2981,3.1985,5.1807,0.0,11.6903,0.0,0.0001,0.0828,7.2563,0.0
KAZ_C19,75.8453,85.2581,437.3002,463.3031,5.8103,3.4514,0.1332,7.9883,0.0484,0.1533,2.9471,2.3404,0.008,41.9907,415.6722,0.0267,0.0011,0.0034,0.0085,0.0176,0.0074,9.8333,188.9931,5.5839,75.4366,800.1701,2388.3129,15.0953,131.6035,62.7721,1.4367,0.7364,0.4214,2.1473,0.3905,25.5265,383.9374,69.8801,34.6354,105.4831,12.0076,122.7612,21.3867,49.0381,0.0,136.9105,0.0,0.0042,0.9937,130.5308,0.0
KAZ_C20,128.2202,0.758,123.216,636.3194,9.4934,150.7584,2.5285,0.5069,59.0233,1.1962,4.0813,85.4519,109.9519,15.137,10.2791,0.7148,1.4837,0.5075,0.9834,0.0594,0.9088,10.5114,21.0618,0.7034,23.2827,16.4589,29.8806,1.7015,4.284,4.6323,0.9727,1.521,6.4124,1.792,2.8773,0.4224,45.9615,82.5071,49.9544,6.8342,41.1499,137.5966,5.5027,9.3066,0.0,45.0972,0.0,0.002,1.6524,30.6481,0.0
KAZ_C21,2.5872,0.001,6.4644,4.3313,0.1431,0.8592,0.0013,0.0001,0.0017,0.0087,0.0504,3.3818,0.0009,0.0065,0.0286,0.002,0.0002,0.0007,0.001,0.0001,0.0009,0.0348,0.22,0.0069,0.0521,0.0665,0.0249,0.4096,0.0538,0.1094,0.9666,0.1737,0.0081,0.0957,0.0061,0.0286,0.1438,56.2903,0.6798,1.4606,4.0281,595.5993,5.3104,4.4995,0.0,112.2494,0.0,0.8728,0.0196,15.5382,0.0
KAZ_C22,5.0177,0.1355,45.0957,15.9892,19.7167,28.4457,1.0003,1.0829,1.7156,0.4298,0.1916,19.2096,6.8612,43.0528,1.2521,0.8399,0.0142,0.0276,0.0636,0.1024,0.0464,1.8728,18.9288,4.052,116.7871,264.769,123.898,2.6413,0.3238,10.879,0.9907,4.5527,3.6246,21.1747,2.8295,1.3023,169.3068,76.2351,19.2646,1.2261,13.1506,87.0065,4.2543,3.0475,0.0,35.5767,0.0,0.001,1.4791,14.229,0.0
