V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_F,19.7555,0.0547,0.7491,3.5355,0.1304,8.7382,1.4839,20.1399,2.9346,0.0005,4.0555,27.1351,6.5973,17.5768,13.4299,52.9785,2.3858,10.2045,10.498,5.1025,0.1975,95.8117,83.7648,95.4629,1565.0878,115.6358,49.6834,0.1794,0.7171,35.7603,2.0488,40.6967,6.1,3.1336,3.5818,19.1015,93.9375,354.4627,36.466,208.3503,29.6072,44.6065,12.791,3.2854,0.0,63.4211,0.8884,8.5173,2581.014,1.0354,0.0
SVN_G,122.9245,1.8999,1.9758,6.303,0.4231,226.4191,72.1647,36.9094,45.5418,0.0098,46.5485,96.1303,72.245,45.8954,85.6401,105.9253,33.0602,106.6078,53.4548,126.7309,3.4555,44.4558,67.7031,54.0633,197.6817,460.7004,251.8261,1.3504,56.4661,34.8839,8.4068,133.3417,21.2853,27.8485,40.3337,47.2579,33.4838,124.5035,43.708,64.1419,53.8745,82.9527,41.7204,25.7467,0.0,1962.5208,1.564,56.1281,288.9621,40.9504,0.0
SVN_H49,25.3943,0.2178,1.9061,21.8604,0.1841,44.6584,7.3264,13.7023,29.3983,0.0089,22.3383,24.3309,23.2218,34.1538,39.2197,51.1057,6.4041,37.5694,20.8952,40.7751,1.0967,17.1923,14.413,19.2045,58.1644,181.9672,334.7407,0.4747,2.4681,133.0283,10.2104,10.0755,7.1338,1.9417,4.7422,5.0718,3.0336,19.4439,44.1257,15.2513,13.253,10.9621,10.8762,7.7991,0.0,243.6224,0.0626,225.4243,27.9776,83.1344,0.0
SVN_H50,0.5522,0.0052,0.01,0.0528,0.0028,0.7259,0.4808,0.1971,0.4402,0.0001,0.5102,0.3517,0.5601,0.2902,0.8758,0.7596,0.2076,0.9063,0.4447,1.1677,0.0316,0.3535,0.3685,0.1458,0.8152,1.2259,1.2429,2.9182,0.1185,2.3233,0.0272,0.3615,0.0404,0.0325,0.0546,0.1115,0.0856,0.2661,0.2557,0.1016,0.1856,0.3009,0.0827,0.0593,0.0,8.1364,0.0031,0.232,1.2142,25.117,0.0
SVN_H51,0.7888,0.005,0.041,0.0857,0.002,0.8931,0.3552,0.2199,0.3799,0.0001,0.4267,0.3076,0.5229,0.1939,0.9252,0.9539,0.1475,0.7808,0.4975,0.9669,0.0185,0.3645,0.5926,0.1682,0.8783,1.1826,1.1553,0.002,0.0389,0.1465,0.0174,0.5022,0.1424,0.0539,0.0972,0.1328,0.2187,1.0561,0.1706,0.1957,0.2648,0.5029,0.1859,0.2087,0.0,0.5148,0.01,1.1024,1.2287,48.183,0.0
SVN_H52,5.1888,0.084,0.1108,1.159,0.1144,13.7549,3.1013,2.3972,8.0835,0.0013,5.1058,23.7462,5.0404,5.3047,6.5417,11.2912,2.2505,8.0137,4.2816,9.5055,0.4935,3.6948,7.0711,6.7373,14.3263,112.4169,155.9902,3.4287,35.195,339.0957,16.9926,8.516,1.4065,2.6818,2.8508,2.6378,5.0335,7.4025,4.7109,9.4887,2.6057,3.7871,3.4343,1.8171,0.0,237.6212,1.1968,20.6033,12.1652,24.7389,0.0
SVN_H53,0.6556,0.1354,0.0368,0.3974,0.0109,1.8045,0.5063,0.6364,1.6053,0.0024,0.5235,3.6312,0.8555,0.7748,0.7266,2.8165,0.5396,1.2348,1.5948,0.9646,0.1443,1.7004,5.0603,5.2442,3.8109,41.3759,9.3281,0.0288,0.3227,3.8171,34.9072,2.7514,15.9476,7.4817,16.998,45.477,2.3724,7.122,5.9838,39.1804,3.9611,8.6253,2.7619,14.2541,0.0,18.9233,0.0019,0.1559,0.9997,0.1443,0.0
SVN_I,0.4371,0.0476,0.0392,0.1378,0.0209,1.9829,0.3342,0.4631,0.5714,0.0001,0.642,4.9102,1.1496,1.0047,0.3694,7.3175,1.0859,2.0253,3.2977,3.705,0.7023,3.2592,1.3149,0.4643,11.215,17.199,15.5262,0.0551,1.7281,3.054,0.1937,12.4236,1.0308,2.9802,4.132,2.152,0.4387,9.1575,78.5528,5.6733,10.5256,6.0848,10.9831,7.2124,0.0,784.3249,0.0513,23.8818,0.0,0.0001,0.0
SVN_J58T60,1.0426,0.0359,0.0363,0.1261,0.0104,3.5034,0.4978,0.4493,1.6001,0.0018,0.7752,14.5146,1.029,1.0238,4.5875,2.4035,1.0099,2.009,1.9852,1.4675,0.1642,1.0929,1.7916,4.5343,1.7482,28.7614,2.7135,0.045,0.8913,3.6388,0.4737,3.8697,82.8406,19.0269,2.875,4.5732,0.7882,24.1861,5.702,5.3729,3.6602,2.3702,5.8746,5.7161,0.0,80.9103,1.0142,71.0293,14.4458,0.6366,0.0
SVN_J61,1.0023,0.08,0.0579,0.1866,0.0336,2.3543,0.6038,0.7908,1.088,0.0003,0.9332,4.287,1.7631,0.9613,0.8209,2.4235,1.2181,3.0603,2.0975,1.7159,0.1662,1.8495,6.1508,2.0925,6.0305,29.1235,14.1574,0.0654,0.9016,3.1835,1.8255,5.3648,8.0956,261.5088,38.3391,17.0464,1.4662,11.1708,5.0379,12.3976,5.0472,7.5701,4.5785,9.3786,0.0,401.7712,0.0309,5.2838,9.4207,1.1508,0.0
