V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CAN_HFCE,CAN_NPISH,CAN_GGFC,CAN_GFCF,CAN_INVNT,CAN_DPABR
CAN_C31T33,216.0978,9.7719,43.0031,17.0951,8.8538,319.7194,61.4268,164.6365,254.63,82.8159,153.7298,38.487,165.003,151.8733,171.5011,275.3172,51.4037,22.6998,152.1342,151.4388,113.5338,651.7189,54.0808,683.8011,2696.6431,265.7896,33.5164,1.5845,12.1476,18.8575,9.0323,464.5457,119.3184,30.1349,51.8957,92.3196,60.2299,430.3613,105.538,2371.638,86.3878,1673.8367,275.7747,183.4389,0.0,8386.0561,0.0869,12.1512,1640.8561,28.0385,0.0
CAN_D,1451.515,4.6092,985.356,618.5693,106.1405,580.706,44.0794,334.5891,989.9143,274.4347,651.6174,47.6647,324.4533,255.2437,867.6387,242.3048,65.9852,42.3426,156.5743,293.2526,75.898,169.6809,71.9918,33.8863,386.0886,1608.4462,345.009,2.1536,25.475,119.3113,48.2389,482.8495,159.973,176.6951,112.491,985.3599,1052.9744,377.37,278.5244,1513.1789,717.4705,1053.2954,243.478,476.176,0.0,20041.5189,4.2332,0.0,340.6475,8.3835,0.0
CAN_E,23.2392,0.6803,534.0022,16.3522,2.6515,146.481,11.2037,21.2748,109.5116,40.4134,231.241,7.753,70.9808,37.5176,60.1336,78.9368,10.6144,24.1798,38.5363,61.8679,44.9024,85.0861,12.0145,13.2293,256.3252,1493.8366,160.7485,4.2625,60.5828,92.6763,24.9881,259.1831,39.7924,14.389,77.4021,546.1579,865.2981,148.7321,102.6816,2285.2658,314.9592,604.1162,101.88,305.8953,0.0,3471.4247,0.0,5.5869,88.4843,5.401,0.0
CAN_F,810.9214,2.2253,1713.9006,384.9328,15.5193,176.3919,14.8344,23.739,172.3137,79.1591,322.9409,61.3369,67.7391,117.4095,112.5463,81.821,32.4231,35.848,134.2634,77.0489,118.814,86.4818,1727.7867,296.4298,307.1789,1673.4708,1864.8599,132.869,20.6452,1560.1434,30.6607,531.9064,59.2411,229.5228,177.1289,1310.8085,14078.7994,355.32,334.4703,4643.5484,1714.4441,1257.4981,377.6881,176.8289,0.0,1067.2967,1426.3236,0.0,201271.4512,3.7767,0.0
CAN_G,4376.3067,206.1703,1889.7806,895.4148,466.1963,8025.1575,596.9614,890.9158,1600.9344,765.3332,2254.054,915.8497,1658.4511,1084.0986,1340.666,1460.8355,582.5392,422.2034,1560.6191,5151.7453,976.4684,1545.6136,409.2157,1291.8304,13389.5733,3920.4126,2383.1966,96.7733,504.2676,714.0342,431.8969,6043.3896,1128.4856,1018.4169,1271.5988,3109.2647,1554.5712,2702.4385,3639.0686,6672.6727,1778.4433,6455.581,1135.366,1507.819,0.0,75650.6594,42.8934,1318.0145,12073.5572,1403.3691,0.0
CAN_H49,2422.1528,65.5357,701.2541,272.5708,211.4689,2351.478,103.5866,946.0046,679.2833,1562.8328,679.7342,150.8278,442.6892,555.2531,1137.0113,512.7996,116.9678,200.3892,482.139,1340.0157,186.2606,479.211,327.911,32.7556,3335.9398,3139.4503,9965.4473,67.8871,189.2822,3382.3275,990.0442,435.7611,139.4378,85.9231,146.5963,475.0865,297.6595,468.3934,398.9498,980.3997,2963.8587,430.6326,136.4096,233.3004,0.0,10013.1413,8.6918,16.3736,934.9847,731.6335,0.0
CAN_H50,37.7716,0.9004,18.0351,1.3541,3.4516,61.6485,5.4267,12.4078,6.3247,41.3544,32.7666,5.6488,23.6167,13.075,60.3913,21.6495,9.9357,7.5872,22.4549,112.5053,20.8783,16.2342,5.0211,0.609,55.2025,39.0439,34.3967,6.6963,19.4756,3.9989,2.4893,20.5907,3.6859,10.027,2.5652,7.1069,4.211,5.4612,4.7375,19.0106,3.4685,16.6261,1.9403,3.5412,0.0,428.7011,0.0577,11.3907,122.3874,1414.5693,0.0
CAN_H51,117.7948,7.2002,79.8844,30.892,17.6754,197.1036,15.0954,47.637,59.9044,100.3673,87.0539,22.356,63.9174,41.5374,132.0402,68.5879,33.0184,24.0664,79.025,222.555,53.3448,82.6523,27.4998,34.9766,406.6877,244.8898,169.8461,31.8607,128.5778,48.7685,81.2191,93.9873,56.1922,62.6758,92.9306,254.1896,164.7365,325.316,182.392,311.6487,118.9062,187.5171,54.3499,66.4226,0.0,1916.8298,0.2051,15.1777,277.041,1858.3587,0.0
CAN_H52,349.532,64.0368,445.66,166.9861,21.3048,1441.588,47.2005,359.6046,336.2724,414.8548,540.7719,91.4903,406.4718,321.1985,301.0435,228.7459,121.5907,109.9956,371.0906,353.7522,253.7137,342.1472,52.74,87.0545,416.6855,4324.0197,3747.8941,960.6685,2353.8076,323.9183,215.9013,121.2236,122.2417,29.5996,120.7715,345.0124,211.1963,400.1629,295.7657,1372.2023,209.2821,190.8042,113.5621,106.4723,0.0,3189.9408,10.1463,1.8682,293.4997,35.634,0.0
CAN_H53,8.2259,0.7443,61.1045,21.7293,5.8516,142.8977,27.2082,29.5277,65.9506,6.6365,87.704,13.381,45.8965,36.6022,17.7383,71.639,25.1368,18.7406,73.8049,19.584,8.3265,117.1267,45.9801,29.3572,298.3147,2052.5864,64.6734,7.8895,38.6517,136.3184,140.6309,32.262,139.2814,166.2111,63.7842,1588.1192,614.1951,271.1323,435.7208,362.4842,144.1975,381.3903,70.884,170.8346,0.0,1357.925,0.0,0.3415,21.8346,4.8163,0.0
