V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T,FIN_HFCE,FIN_NPISH,FIN_GGFC,FIN_GFCF,FIN_INVNT,FIN_DPABR
FIN_A01_02,1195.4843,0.4572,0.2012,0.6533,0.093,1787.6615,1.2048,2093.931,1677.8267,0.4933,6.4211,2.4913,16.7155,0.8162,1.0141,0.9364,7.892,4.064,6.4968,0.5785,1.9723,4.5061,43.8281,0.7727,32.6055,37.0909,5.4017,3.1652,4.1812,2.7324,1.3356,127.1059,7.5348,1.0718,8.8555,2.4301,18.5622,19.3802,16.1544,45.6062,27.0041,52.0966,8.14,5.0078,0.0,2121.0491,6.7254,14.8415,234.1238,70.9551,0.0
FIN_A03,0.2296,25.558,0.0281,0.0709,0.0,26.2449,0.0438,0.1161,0.421,0.178,0.3878,0.0819,0.16,0.1631,0.1842,0.2996,1.5142,0.3216,1.1814,0.0611,0.095,0.1026,0.4831,0.0944,1.0272,0.2233,0.0917,0.1815,0.244,1.9943,0.043,48.2999,0.295,0.5946,1.4743,1.2562,2.28,2.7744,2.642,3.2164,2.0143,4.5142,0.7813,1.2576,0.0,72.698,0.0,0.0,0.0,1.442,0.0
FIN_B05_06,2.6906,0.0047,0.0835,0.0761,0.0161,0.4334,0.0518,7.1269,3.5376,0.2497,0.2778,0.0308,0.0879,0.5266,0.2496,0.1753,0.2951,0.0858,0.2968,0.0309,0.0536,0.4714,405.5221,0.0598,10.1605,0.5581,0.236,0.0334,0.0478,0.1234,0.0358,0.1663,0.1564,0.0656,0.3314,0.2507,0.358,0.2832,0.1535,0.482,0.1548,0.371,0.1225,0.2187,0.0,3.3397,0.0029,0.22,1.3878,1.7389,0.0
FIN_B07_08,2.1514,0.01,17.3616,65.7163,7.5992,3.3164,0.4306,0.7652,176.5661,0.7481,95.0701,0.1805,1.0606,186.6741,183.3311,3.9134,4.5474,0.5574,0.8798,0.1374,0.1598,0.8025,189.5216,0.4803,314.8209,1.0447,0.4424,0.066,0.0876,0.2527,0.0682,0.3486,0.3211,0.1103,0.6969,0.4324,0.3191,0.426,0.3497,1.406,0.4821,0.7928,0.2115,0.2691,0.0,9.6489,0.0651,2.8006,16.8881,5.2049,0.0
FIN_B09,0.476,0.0331,2.9521,10.9028,3.4698,0.4456,0.0075,0.1233,4.0125,78.1741,1.969,0.0486,0.1552,4.7199,13.4429,0.9468,0.0498,0.0665,0.7817,0.0052,0.0142,0.1473,12.5069,0.4012,32.0767,0.4624,1.0814,0.0838,0.0929,0.4844,0.0018,0.061,0.0027,0.0,0.0043,0.0014,1.1997,1.1805,0.3843,0.6528,0.0243,0.2584,0.0744,0.0824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN_C10T12,470.7389,0.2395,0.0059,0.0125,0.0022,1596.1903,0.364,4.0061,87.8098,0.0109,350.0094,1.6868,0.7646,0.2352,0.0055,0.0377,0.024,0.0302,0.0946,0.0749,0.0063,2.0161,14.6662,3.863,51.5864,11.2503,4.2528,10.1596,6.3754,75.8135,2.0118,979.234,14.8221,28.8419,71.3852,60.201,125.9361,146.5886,115.1485,94.0263,55.6669,124.8236,33.8251,84.9668,0.0,6687.2325,0.0,0.0,0.0001,88.0686,0.0
FIN_C13T15,1.0392,0.0612,0.076,0.2684,0.0165,2.2715,61.7341,1.3377,5.8652,0.5504,0.9778,4.2688,8.9751,8.7296,0.3239,1.3049,0.783,1.1809,2.5401,0.779,3.3803,17.2301,1.872,19.7605,28.9089,17.2782,1.3141,4.8076,0.543,4.735,0.1069,2.7613,4.6676,1.2087,6.5361,8.9099,4.6909,29.9589,26.7693,9.943,2.9799,22.6042,1.882,11.2594,0.0,667.6274,0.0038,1.0119,4.8182,9.8699,0.0
FIN_C16,11.0574,0.0864,5.4208,1.7941,2.24,10.8326,1.3383,735.4175,414.6571,13.7862,4.7628,1.2868,2.4799,7.516,13.3596,13.2835,5.0112,2.6769,9.3028,1.5061,3.7309,91.6361,243.0313,2.6206,2184.1084,41.3039,9.5587,2.885,5.6857,7.9605,0.6484,3.5025,4.1347,2.8579,7.1588,8.0709,39.3243,39.9207,13.3098,10.1568,5.8625,6.1432,3.8939,19.6993,0.0,61.276,0.1818,1.746,12.9992,33.1111,0.0
FIN_C17_18,35.4058,0.5784,1.5858,5.9106,0.5031,207.4919,9.9998,60.6778,2383.6278,26.542,48.9338,12.7709,40.8886,20.0007,19.138,21.6607,38.7128,14.6916,51.7067,5.0509,9.4556,30.7503,36.3944,22.7011,188.0268,431.419,23.4489,9.2134,10.8572,40.8906,7.3155,30.6309,604.3354,30.0415,84.046,53.6051,59.2001,142.0232,133.115,111.4602,63.0817,147.584,103.8749,45.0395,0.0,717.1712,0.4698,23.716,120.1966,96.0348,0.0
FIN_C19,165.2545,4.9327,4.4813,17.0278,1.2042,4.0422,0.2713,3.0213,16.4511,1257.4667,32.9531,0.7824,8.4868,15.5268,32.3684,2.1954,13.1103,2.9119,7.0925,0.6095,8.4066,6.4434,99.8378,37.6379,238.4646,72.5803,832.9566,159.6685,323.72,129.6285,9.5853,4.8403,4.8548,2.4683,6.9806,40.2665,210.0264,26.4568,38.049,107.2705,23.9023,51.055,32.2606,28.2363,0.0,1199.895,1.8178,7.0878,33.1578,36.1414,0.0
